name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Leonardo da Vinci,{{birth date|df=yes|1452|04|15}},"possibly [[Anchiano]],{{efn|name=Birthplace}} [[Vinci, Tuscany|Vinci]], {{awrap|[[Republic of Florence]]}}",{{death date and age|df=yes|1519|5|2|1452|4|15}},"[[Clos Lucé]], [[Amboise]], {{awrap|[[Kingdom of France]]}}",,,{{circa|1470–1519}},{{hlist|Painting|drawing|engineering|anatomical studies|hydrology|botany|optics|geology}},,,Studio of [[Andrea del Verrocchio]],{{plainlist| * ''[[Virgin of the Rocks]]'' ({{circa|1483–1493}}) * ''[[Lady with an Ermine]]'' ({{circa|1489–1491|lk=no}}) * ''[[Vitruvian Man|The Vitruvian Man]]'' ({{circa|1490|lk=no}}) * ''[[The Last Supper (Leonardo)|The Last Supper]]'' ({{circa|1495–1498|lk=no}}) * ''[[Mona Lisa]]'' ({{circa|1503–1516|lk=no}})}},,,,
Michelangelo,6 March 1475,"[[Caprese Michelangelo|Caprese]]<!-- near [[Arezzo]]-->, [[Republic of Florence]]",{{death date and age|df=yes|1564|2|18|1475|3|6}},"[[Rome]], [[Papal States]]",,,,,,,,,{{hlist,,,
Raphael,"March 28 or April 6, 1483","[[Urbino]], [[Duchy of Urbino]]","April 6, 1520 (aged 37)","[[Rome]], [[Papal States]]",,,,,,,,,{{flatlist| *[[Painting]] *[[architecture]] }},,,
Donatello,{{c.|1386}},[[Republic of Florence]],{{death date and age|df=y|1466|12|13|1386}},Republic of Florence,[[Republic of Florence|Florentine]],,,,,,,,Sculpture,,,
Sandro Botticelli,"{{circa|1445}}<ref name=""Ettl"">Ettlingers, 7. Other sources give 1446, 1447 or 1444–45.</ref><!-- Please do not change this because there is no reliable source for his date of birth. If you believe you have confirmable date, please present it at the article talk page first. -->","[[Florence]], [[Republic of Florence]] {{small|(now Italy)}}","{{death date and age|1510|5|17|1445|||mf=y}}<ref>{{cite web | title=Sandro Botticelli – Biography and Legacy |url=https://www.theartstory.org/artist/botticelli-sandro/life-and-legacy/ | website=theartstory.org}}.</ref><ref>{{cite web |title=Botticelli in the Florence of Lorenzo the Magnificent | first1=Bruce |last1=Edelstein |publisher=[[Sotheby's]] |date=Dec 21, 2020 | url=https://www.sothebys.com/en/articles/botticelli-in-the-florence-of-lorenzo-the-magnificent}}.</ref>","Florence, Republic of Florence",Italian,,,,,,,,Painting,,,
Caravaggio,29 September 1571,"[[Milan]], [[Duchy of Milan]]<ref name=carm>{{cite news|last1=Carminati|first1=Marco|title=Caravaggio da Milano|url=http://www.ilsole24ore.com/art/SoleOnLine4/Tempo%20libero%20e%20Cultura/2007/06/carminati-caravaggio.shtml?uuid=4d415878-19a4-11dc-ac19-00000e251029|access-date=28 July 2016|date=25 February 2007|language=it}}</ref>",{{death date and age|1610|07|18|1571|09|29|df=y}},"[[Porto Ercole]],<br/>[[State of the Presidi]]",,,,,,,,,[[Painting]],,,
Titian,{{circa|1488/90}},"[[Pieve di Cadore]], [[Republic of Venice]]",{{death date and age|1576|8|27|1488|df=y}},"[[Venice]], Republic of Venice",[[Italians|Italian]],[[Artist]],,,,,,,,,,
Peter Paul Rubens,28 June 1577,"[[Siegen]], [[County of Nassau|Nassau-Dillenburg]], [[Holy Roman Empire]]",{{death date and age|df=yes|1640|5|30|1577|6|28}},"[[Antwerp]], [[Spanish Netherlands]]",[[Flemish people|Flemish]],,,,,,,,"[[Painting]], [[drawing]], tapestry design, print design",{{plainlist| * {{Marriage|[[Isabella Brant]]|1609|1626|end=died}} * {{Marriage|[[Helena Fourment]]|1630<!--Don't add his death per template instructions-->}} }},,
Rembrandt,"{{Birth date|df=y|1606|7|15}}<ref name=""BY"">Or possibly 1607 as on 10 June 1634 he himself claimed to be 26 years old. See [http://www.codart.nl/news/82/ Is the Rembrandt Year being celebrated one year too soon? One year too late?] {{Webarchive|url=https://web.archive.org/web/20101121211856/http://codart.nl/news/82/ |date=21 November 2010 }} and {{in lang|nl}} J. de Jong, [http://www.nd.nl/artikelen/2006/februari/03/rembrandts-geboortejaar-een-jaar-te-vroeg-gevierd Rembrandts geboortejaar een jaar te vroeg gevierd] {{Webarchive|url=https://web.archive.org/web/20100718111837/http://www.nd.nl/artikelen/2006/februari/03/rembrandts-geboortejaar-een-jaar-te-vroeg-gevierd |date=18 July 2010 }} for sources concerning Rembrandt's birth year, especially supporting 1607. However, most sources continue to use 1606.</ref>","[[Leiden]], Dutch Republic",{{Death date and age|1669|10|4|1606|7|15|df=y}},"[[Amsterdam]], Dutch Republic",,,,,,,,,"[[Painting]], [[printmaking]], [[drawing]]",{{marriage|[[Saskia van Uylenburgh]]|1634|1642|end=died}},"2, including [[Titus van Rijn|Titus]]",
Johannes Vermeer,[[Baptism|baptised]] 31 October 1632,"[[Delft]], [[County of Holland]], [[Dutch Republic]]",{{Death date and age|1675|12|15|1632|10|31|df=yes}},"Delft, County of Holland, Dutch Republic",,,,,,,,,Painting,[[Catharina Bolnes]],,
