name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Claude Monet,{{birth date|df=yes|1840|11|14}},"Paris, France",{{death date and age|df=yes|1926|12|5|1840|11|14}},"[[Giverny]], France",<!-- use only when necessary per [[WP:INFONAT]] -->,,1865–1926,,,,{{cslist|[[Académie Suisse]]|{{Lang|fr|[[Beaux-Arts de Paris]]|italic=no}}}},,Painting,{{ubl|{{marriage|[[Camille Doncieux]]|1870|1879|reason=died}}|{{marriage|[[Alice Hoschedé]]|1892|1911|reason=died}}}},{{cslist|[[Jean Monet (son of Claude Monet)|Jean]]|[[Michel Monet|Michel]]}},
Edgar Degas,{{birth date|df=yes|1834|7|19}},"[[Paris]], France",{{death date and age|df=yes|1917|9|27|1834|7|19}},"Paris, France",,,,,,,,,"Painting, sculpture, drawing",,,
Paul Cézanne,{{Birth date|df=yes|1839|1|19}},"[[Aix-en-Provence]], France",{{Death date and age|df=yes|1906|10|22|1839|1|19}},"Aix-en-Provence, France",French,,,Painting,,,,"''[[Mont Sainte-Victoire (Cézanne)|Mont Sainte-Victoire]]'' (1885–1906)<br />''Apothéose de Delacroix'' (1890–1894)<br />{{lang|fr|[[Rideau, Cruchon et Compotier]]}} (1893–94)<br />''[[The Card Players]]'' (1890–1895)<br />''[[The Bathers (Cézanne)|The Bathers]]'' (1898–1905)<br />''[[Pyramid of Skulls]]'' ({{Circa|1901}})",,,,
Vincent van Gogh,{{birth date|1853|3|30|df=y}},"[[Zundert]], Netherlands",{{death date and age|df=yes|1890|7|29|1853|3|30}},"[[Auvers-sur-Oise]], France",,,1881–1890,,,,{{ubl|[[Royal Academy of Fine Arts (Antwerp)|Royal Academy of Fine Arts]]|{{lang|fr|[[Académie Royale des Beaux-Arts]]|italic=no}}}},{{ubl|''[[Sunflowers (van Gogh series)|Sunflowers]]'' (1887)|''[[Bedroom in Arles]]'' (1888)|''[[The Starry Night]]'' (1889)|''[[Wheatfield with Crows]]'' (1890)|''[[At Eternity's Gate|Sorrowing Old Man]]'' (1890)}},,,,
Pablo Picasso,{{birth date|df=yes|1881|10|25}},"[[Málaga]], Spain",{{death date and age|df=yes|1973|4|8|1881|10|25}},"[[Mougins]], France",,,1897–1973,,{{plainlist| * [[Lenin Peace Prize]]}},,,,"[[Painting]], [[drawing]], [[sculpture]], [[printmaking]], [[Ceramics (art)|ceramics]], [[Scenic design|stage design]], [[writing]]",{{plainlist| * {{marriage|[[Olga Khokhlova]]|1918|1941|end=sep.}} * {{marriage|[[Jacqueline Roque]]|1961}}}},{{plainlist| * [[Paulo Picasso]] * [[Maya Widmaier-Picasso]] * [[Claude Picasso]] * [[Paloma Picasso]] }},
,{{birth date|1904|5|11|df=y}},"[[Figueres]], Catalonia, [[Restoration (Spain)|Spain]]",{{death date and age|1989|01|23|1904|05|11|df=y}},"Figueres, Catalonia, Spain",,,,,,,,,"Painting, drawing, photography, sculpture, writing, film, and jewelry",{{marriage|[[Gala Dalí]]|1934|1982|end=died}},,
Henri Matisse,{{Birth date|df=yes|1869|12|31}},"[[Le Cateau-Cambrésis]], France<!--See MOS:GEOLINK-->",{{Death date and age|df=yes|1954|11|3|1869|12|31}},"[[Nice]], France",,,,,,,,,{{hlist|Painting|[[printmaking]]|sculpture|drawing|[[collage]]}},{{marriage|Amélie Noellie Parayre|1898|1939|end=div}},"3, including [[Pierre Matisse|Pierre]]",
Jackson Pollock,{{birth date|1912|1|28|mf=y}},"[[Cody, Wyoming]], U.S.",{{death date and age|1956|8|11|1912|1|28|mf=y}},"[[Springs, New York]], U.S.",,,,[[Painting]],,,[[Art Students League of New York]],,,{{marriage|[[Lee Krasner]]|1945}},,
Andy Warhol,{{Birth date|1928|8|6}},"[[Pittsburgh]], Pennsylvania, U.S.",{{Death date and age|1987|2|22|1928|8|6}},"New York City, U.S.<!-- No boroughs/neighborhoods, just cities per format -->",,,,,,,,,{{hlist|[[Printmaking]]|painting|cinema|photography}},,,
Frida Kahlo,,"[[Coyoacán]], Mexico",{{Death date and age|df=yes|1954|7|13|1907|7|6}},"Mexico City, Mexico",,,,,,,,,,{{plainlist| * {{marriage|[[Diego Rivera]]|1929|1939|end=div}} * {{marriage||1940}} }},,
Georgia O'Keeffe,{{birth date|1887|11|15|mf=y}},"[[Sun Prairie (town), Wisconsin|Sun Prairie, Wisconsin]], U.S.",{{death date and age|1986|3|6|1887|11|15|mf=y}},"[[Santa Fe, New Mexico]], U.S.",,,,,[[National Medal of Arts]] (1985)<br />[[Presidential Medal of Freedom]] (1977)<br />[[Edward MacDowell Medal]] (1972),,"[[School of the Art Institute of Chicago]]<br />[[Columbia College (South Carolina)|Columbia College]]<br />[[Teachers College, Columbia University]]<br />[[University of Virginia]]<br />[[Art Students League of New York]]",,"Visual arts: painting, sculpture, photography","{{marriage|[[Alfred Stieglitz]]|1924|July 13, 1946|end=his death}}",,
Mark Rothko,{{birth date|mf=yes|1903|9|25}},"[[Dvinsk]], [[Russian Empire]]<br />(now [[Daugavpils]], Latvia)",{{death date and age|mf=yes|1970|2|25|1903|9|25}},"New York City, U.S.",{{Plainlist| * [[Russian Empire]] * American (from 1938) }},,,,,,,,,,,
Wassily Kandinsky,{{OldStyleDate|16 December|1866|4 December}},"Moscow, [[Russian Empire]]",{{Death date and age|1944|12|13|1866|12|16|df=y}},"[[Neuilly-sur-Seine]], France","Russian, later French",,,,,,,,Painting,{{ubl|{{marriage|Anja Chimiakina|1892|1911|reason=div}}|{{marriage|[[Nina Kandinsky|Nina Nikolaevna Andreevskaya]]|1917}}}},,
Joan Miró,{{Birth date|df=y|1893|4|20}},"[[Barcelona]], [[Catalonia]], Spain",{{Death date and age|df=y|1983|12|25|1893|4|20}},"[[Palma de Mallorca|Palma]], Balearic Islands, Spain",<!-- use only when necessary per [[WP:INFONAT]] -->,,,,"{{cslist|1954 [[Venice Biennale]] Grand Prize for Graphic Work|1958 Guggenheim International Award|1980 Gold Medal of Fine Arts, Spain}}",,,,"Painting, sculpture, [[mural]] and [[Ceramics (art)|ceramics]]",{{marriage|Pilar Juncosa Iglésias|12 October 1929}},,
Paul Klee,{{birth date|df=yes|1879|12|18}},"[[Münchenbuchsee]], Bern, Switzerland",{{death date and age|df=yes|1940|6|29|1879|12|18}},"[[Muralto]], Ticino, Switzerland",German,,,,,,,,"Painting, drawing, watercolor, printmaking",,,
Diego Rivera,{{birth date|1886|12|8}},"[[Guanajuato (city)|Guanajuato]], Mexico",{{death date and age|1957|11|24|1886|12|8}},"[[Mexico City]], Mexico",,,,,,,,,,{{Plainlist| * {{marriage|[[Angelina Beloff]]|1911|1921|end=div}} * {{marriage|[[Guadalupe Marín]]|1922|1928|end=div}} * {{marriage|[[Frida Kahlo]] |1929|1939|end=div}} * {{marriage|<!--Frida Kahlo-->|1940|1954|end=d}} * {{marriage|Emma Hurtado|1955}} }},,
Fernando Botero,{{birth date|df=y|1932|4|19}},"[[Medellín]], Colombia",{{death date and age|df=y|2023|9|15|1932|4|19}},"[[Monte Carlo]], Monaco",,,,,,,,,{{hlist|Painter|sculptor}},{{plainlist| {{marriage|{{ill|v=ib|Gloria Zea|es}}|1955|1960|reason=divorce}} {{marriage|[[Cecilia Zambrano]]|1964|1975|reason = divorce}}}} {{marriage|[[Sophia Vari]]|1978|5 May 2023|reason = died}},"4, Lina, Juan Carlos, [[Fernando Botero Zea|Fernando]] and Pedro (Died. 1974<ref>País, El (2023-09-15). ""La triste historia de Pedrito, el hijo del artista Fernando Botero y de su segunda esposa, la caleña Cecilia Zambrano"". Noticias de Cali, Valle y Colombia – Periodico: Diario El País {{in lang|es}}. Retrieved 2024-02-23.</ref>)",
Jean-Michel Basquiat,{{Birth date|1960|12|22}},"New York City, U.S.<!--No boroughs/neighborhoods,just cities per format.-->",{{Death date and age|1988|8|12|1960|12|22}},"New York City, U.S.",,,1978–1988,"Painting, drawing",,,,{{plainlist| *''[[Irony of Negro Policeman]]'' (1981) *''[[Untitled (Skull)]]'' (1981) *''[[Untitled (1982 Basquiat skull painting)|Untitled]]'' (1982) *''[[Boy and Dog in a Johnnypump]]'' (1982) *''[[Defacement (The Death of Michael Stewart)|Defacement]]'' (1983) *''[[Hollywood Africans]]'' (1983)}},,,,
Banksy,,,,,,,,,,,,,[[Street art]],,,
Yayoi Kusama,{{birth date and age|df=y|1929|3|22}},"[[Matsumoto, Nagano]], [[Empire of Japan]]",,,,,,,[[Praemium Imperiale]] }},,,,{{flatlist| * Painting * drawing * sculpture * [[installation art]] * performance art * film * fiction * fashion * writing}},,,
Ai Weiwei,{{birth date and age|df=y|1957|8|28}},"[[Beijing]], China",,,Chinese,,,,,,[[Beijing Film Academy]],,,[[Lu Qing]],,
Takashi Murakami,{{birth date and age|1962|2|1}},"[[Tokyo]], Japan",,,Japanese,,,,Japanese Fine Arts,,[[Tokyo University of the Arts]],,Contemporary art }},,,
Jeff Koons,{{birth date and age|1955|1|21}},"[[York, Pennsylvania]], U.S.",,,,,,,,,,,,{{plainlist| * {{marriage|[[Ilona Staller]]|1991|1994}} * Justine Wheeler }},,
Damien Hirst,{{Birth date and age|1965|6|7|df=y}},"[[Bristol]], England",,,,,,{{Plainlist| * [[Collection (museum)|Diversity]] * [[Installation Art]] * [[Painting]] * [[Sculpture]] }},,,,,,,,
Sir Anish Kapoor,{{birth date and age|1954|3|12|df=y}}<ref>{{cite web |last1=Töniges |first1=Sven |title=Anish Kapoor: Master of darkness at 65 {{!}} DW {{!}} 12 March 2019 |url=https://www.dw.com/en/anish-kapoor-master-of-darkness-at-65/a-47866693 |website=DW.COM |publisher=Deutsche Welle |access-date=1 January 2020}}</ref>,"[[Mumbai|Bombay]], India",,,"Indian, British",,,,,,,,[[Sculpture]],,,
Antoni Gaudí,{{Birth date|df=yes|1852|6|25 }},"[[Reus]] or [[Riudoms]], Catalonia, Spain<ref name=Masso74/>{{rp|17–18}}<ref name=GABC>{{cite web |ref={{Sfnref|Gaudí and Barcelona Club|2005}} |url=http://www.gaudiclub.com/ingles/i_vida/i_vida.asp |archive-url=https://web.archive.org/web/20110926212727/http://www.gaudiclub.com/ingles/i_vida/i_vida.asp |archive-date=26 September 2011 |title=Biography at Gaudí and Barcelona Club |access-date=5 November 2005 |url-status=live  }}</ref>{{rp|1}}",{{Death date and age|df=yes|1926|6|10|1852|6|25}},"[[Barcelona]], Catalonia, Spain",,,,,,,,,,,,
Frank Lloyd Wright,{{Birth date|mf=yes|1867|6|8}},"[[Richland Center, Wisconsin]], U.S.",{{Death date and age|mf=yes|1959|4|9|1867|6|8}},"[[Phoenix, Arizona]], U.S.",,,,,{{unbulleted list| [[Royal Gold Medal|RIBA Gold Medal]] | [[AIA Gold Medal]] | [[Twenty-five Year Award]] (4) | [[Order of the Star of Italian Solidarity]]}},[[University of Wisconsin–Madison]],,,,{{ubl | {{marriage|Catherine Tobin|1889|1922|end=div}} | {{marriage|Miriam Noel|1923|1927|end=div}} | {{marriage|[[Olgivanna Lloyd Wright|Olga Lazović]]|1928}}}},"8, including [[Lloyd Wright]] and [[John Lloyd Wright]]",
Le Corbusier,{{birth date|1887|10|6|df=y}},"[[La Chaux-de-Fonds]], [[Canton of Neuchâtel|Neuchâtel]], Switzerland",{{death date and age|1965|8|27|1887|10|6|df=y}},"[[Roquebrune-Cap-Martin]], [[Alpes-Maritimes]], France",,,,,{{ubl|[[AIA Gold Medal]] (1961)|[[Legion of Honour|Grand Officier of the Légion d'honneur]] (1964)}},,,,,Yvonne Galli }},,
Zaha Hadid,{{Birth date|df=yes|1950|10|31}},"[[Baghdad]], Iraq",{{Death date and age|df=yes|2016|03|31|1950|10|31}},"[[Miami]], Florida, U.S.",{{hlist|Iraq|United Kingdom}},,,,,[[American University of Beirut]]<br />[[Architectural Association School of Architecture]],,,,,,[[Mohammed Hadid]]<br />Wajeeha Sabonji
The Lord Foster of Thames Bank,{{Birth date and age|df=y|1935|6|1}},"[[Reddish]], [[Stockport]], England",,,,,,,{{hlist|[[Stirling Prize]]|[[Pritzker Architecture Prize]]|[[Minerva medal]]|[[Prince of Asturias Awards|Prince of Asturias Award]]|[[HonFREng]]|Mérite Européen Gold Medal|[[AIA Gold Medal]]<ref>{{cite web |title=List of Fellows - Royal Academy of Engineering |url=https://www.raeng.org.uk/about-us/the-fellowship/list-of-fellows |website=Royal Academy of Engineering |archive-url=https://web.archive.org/web/20200521041125/https://www.raeng.org.uk/about-us/the-fellowship/list-of-fellows |access-date=23 December 2021 |archive-date=21 May 2020 |url-status=dead }}</ref>}},[[University of Manchester]]<br />[[Yale School of Architecture|Yale University]],,,,{{plainlist | *{{marriage|[[Wendy Foster|Wendy Cheesman]]|1964|1989|end=d}} *{{marriage|Begum Sabiha Rumani Malik|1991|1995|end=div}} *{{marriage|[[Elena Ochoa Foster|Elena Fernández-Ferreiro López de Ochoa]]|1996}} }},,
Renzo Piano,{{birth date and age|1937|9|14|df=y}},"[[Genoa]], [[Kingdom of Italy]]",,,,,,,[[Pritzker Architecture Prize]]<br />[[RIBA Gold Medal]]<br />[[Sonning Prize]]<br />[[AIA Gold Medal]]<br />[[Kyoto Prize]],[[University of Florence]]<br />[[Polytechnic University of Milan]],,,,,,
Oscar Niemeyer,{{Birth date|1907|12|15|df=yes}},"[[Rio de Janeiro]], Brazil",{{Death date and age|2012|12|5|1907|12|15|df=yes}},"Rio de Janeiro, Brazil",,,,,{{unbulleted list| 1963 [[Lenin Peace Prize]] | 1988 [[Pritzker Prize]] | 1989 [[Prince of Asturias Awards]] | 1998 RIBA [[Royal Gold Medal]] | 2004 [[Praemium Imperiale]]}},{{unbulleted indent list| [[Escola Nacional de Belas Artes]] | [[Federal University of Rio de Janeiro]]}},,,,{{unbulleted list| {{marriage|Annita Baldo|1928|2004|reason=d}} | {{marriage|Vera Lúcia Cabreira<br>|2006}}}},[[Anna Maria Niemeyer|Anna Maria]],
Ludwig Mies van der Rohe,{{birth date|1886|3|27|mf=y}},"[[Aachen]], [[Kingdom of Prussia]], [[German Empire]]",{{death date and age|1969|8|17|1886|3|27|mf=y}},"[[Chicago, Illinois]], U.S.",,,,,{{ubl|[[Pour le Mérite]] (1959)|[[Royal Gold Medal]] (1959)|[[AIA Gold Medal]] (1960)|[[Presidential Medal of Freedom]] (1963)}} }},,,,,{{Marriage|Adele Auguste Bruhn|1913|1918|end=separated}},4,
Louis Henry Sullivan,"September 3, 1856","[[Boston]], Massachusetts, U.S.",{{Death date and age|1924|4|14|1856|9|3}},"Chicago, Illinois, U.S.",,Architect,,,,,,,,,}},
Walter Gropius,{{birth date|df=y|1883|5|18}},"[[Berlin]], [[Kingdom of Prussia]], German&nbsp;Empire",{{death date and age|df=y|1969|7|5|1883|5|18}},"[[Boston]], Massachusetts, U.S.",,,,,,,,,,{{Plainlist| * {{marriage|[[Alma Mahler]]|1915|1920|end=div}} * {{marriage|Ise Gropius|1923}} }},,
Eero Saarinen,{{Birth date|1910|8|20}},"[[Kirkkonummi]], [[Grand Duchy of Finland]], [[Russian Empire]]",{{Death date and age|1961|09|01|1910|08|20}},"[[Ann Arbor, Michigan]], U.S.",Finnish <br/> American (since 1940),,,,[[AIA Gold Medal]] (1962),[[Académie de la Grande Chaumière]]<br>[[Yale School of Architecture|Yale University]],,,,{{Plainlist| * {{marriage|[[Lilian Swann Saarinen|Lilian Swann]]|1939|1954|end=div}} * {{marriage|[[Aline B. Saarinen|Aline Bernstein]]<br>|1954}} }},,
Philip Johnson,{{birth date|1906|7|8}},"[[Cleveland]], Ohio, U.S.",{{death date and age|2005|1|25|1906|7|8}},"[[New Canaan, Connecticut]], U.S.",,,,,[[Pritzker Prize]] (1979)<br />[[AIA Gold Medal]] (1978),[[Harvard Graduate School of Design]],,,,,,
Richard Meier,{{birth date and age|1934|10|12|mf=yes}},"[[Newark, New Jersey]], U.S.",,,,,,,[[Pritzker Prize]] (1984)<br />[[AIA Gold Medal]] (1997),[[Cornell University]],,,,,,
Santiago Calatrava Valls,{{birth date and age|1951|7|28|df=y}},"[[Valencia]], Spain",,,Spanish-Swiss,,,,,,[[Polytechnic University of Valencia]]<br />[[ETH Zurich|Swiss Federal Institute of Technology]],,,,,
Frank Gehry,{{birth date and age|1929|2|28}},"[[Toronto]], [[Ontario]], Canada",<!-- {{Death date and age|YYYY|MM|DD|1929|02|28}} -->,,,,,,[[#Awards and honors|List of awards]],,[[University of Southern California]] ([[B.Arch]]) }},,,{{Plainlist| * {{Marriage|Anita Snyder|1952|1966|reason=divorced}} * {{Marriage|Berta Isabel Aguilera|1975}}<ref>{{Cite web |date=2007-10-08 |title=Great modern buildings: Frank Gehry biography |url=http://www.theguardian.com/artanddesign/2007/oct/08/architecture |access-date=2022-06-23 |website=[[The Guardian]]|language=en}}</ref>}},4,
Bjarke Ingels,{{Birth date and age|1974|10|2|df=y}},"[[Copenhagen]], Denmark",,,,,,,}},"[[Royal Danish Academy of Fine Arts, School of Architecture]]",,,,,,
Rem Koolhaas,{{Birth date and age|1944|11|17|df=y}},"[[Rotterdam]], Netherlands",,,,Architect<br />[[Architectural theory|Architectural theorist]]<br />[[Urbanist]],,,"[[Pritzker Prize]] (2000)<br />[[Praemium Imperiale]] (2003)<br />[[Royal Gold Medal]] (2004)<br />Leone d'oro alla carriera (2010)<br/> [[Rolf Schock Prize]] (2022) }}  '''Remment Lucas Koolhaas''' ({{IPA|nl|rɛm ˈkoːlɦaːs|lang}}; born 17 November 1944) is a Dutch architect (Madelon Vriesendorp's husband), [[architectural theory|architectural theorist]], [[urbanist]] and Professor in Practice of Architecture and Urban Design at the [[Harvard Graduate School of Design|Graduate School of Design]] at [[Harvard University]]. He is often cited as a representative of [[Deconstructivism]] and is the author of ''[[Delirious New York]]: A Retroactive Manifesto for Manhattan''.<ref>{{Cite book|title=Encyclopedia of the City|url=https://archive.org/details/encyclopediacity00cave|url-access=limited|last=Caves|first=R. W.|publisher=Routledge|year=2004|isbn=978-0-415-25225-6|pages=[https://archive.org/details/encyclopediacity00cave/page/n451 411]}}</ref>  He is seen by some as one of the significant architectural thinkers and urbanists of his generation, by others as a self-important iconoclast.<ref>Michael Kimmelman, ""Why Rem Koolhaas Brought a Tractor to the Guggenheim"", ''The New York Times'', 20 February 2020, accessed online.</ref><ref>{{cite magazine|url=http://www.smithsonianmag.com/arts-culture/why-is-rem-koolhaas-the-worlds-most-controversial-architect-18254921/?all |author=Ouroussoff, Nicolai |title=Why is Rem Koolhaas the World's Most Controversial Architect? |magazine=Smithsonian Magazine |quote=Koolhaas' habit of shaking up established conventions has made him one of the most influential architects of his generation. A disproportionate number of the profession's rising stars, including [[Winy Maas]] of the Dutch firm MVRDV and [[Bjarke Ingels]] of the Copenhagen-based BIG, did stints in his office. Architects dig through his books looking for ideas; students all over the world emulate him. The attraction lies, in part, in his ability to keep us off balance. Unlike other architects of his stature, such as [[Frank Gehry]] or [[Zaha Hadid]], who have continued to refine their singular aesthetic visions over long careers, Koolhaas works like a conceptual artist—able to draw on a seemingly endless reservoir of ideas. |date=September 2012 |access-date=28 June 2016 |author-link=Nicolai Ouroussoff }}</ref><ref>{{cite web |url=http://www.archdaily.com/294970/rem-koolhaas-a-reluctant-architect |author=Quirk, Vanessa |title=Rem Koolhaas: A Reluctant Architect |publisher=ArchDaily.com |date=17 November 2012 |access-date=28 June 2016 }}</ref><ref>{{cite web |url=http://www.archdaily.com/770858/review-six-canonical-projects-by-rem-koolhaas-ingrid-bock |author=Kunkel, Patrick |title=Ingrid Böck's 'Six Canonical Projects by Rem Koolhaas' Dissects the Ideas that have Made Koolhaas' Career |publisher=ArchDaily.com |date=28 July 2015 |access-date=28 June 2016 }}</ref> In 2000, Rem Koolhaas won the [[Pritzker Prize]].<ref name=""Luxury"">{{cite book | title=Luxury Brand Management | publisher=John Wiley & Sons | author=Chevalier, Michel | year=2012 | location=Singapore | isbn=978-1-118-17176-9}}</ref> In 2008, ''[[Time (magazine)|Time]]'' put him in their top 100 of ''[[Time 100|The World's Most Influential People]]''.<ref>{{Cite news",[[Architectural Association School of Architecture]]<br>[[Cornell University]],,,,,,
Tadao Ando,{{birth date and age|1941|9|13|df=yes}},"[[Minato-ku, Osaka]], Japan",,,,,,,"{{ubl|[[Alvar Aalto Medal]], 1985|[[Carlsberg Architectural Prize]], 1992|[[Pritzker Prize]], 1995|[[Royal Gold Medal|RIBA Royal Gold Medal]], 1997|[[AIA Gold Medal]], 2002|[[Cal Poly Pomona College of Environmental Design|Neutra Medal for Professional Excellence]], 2012}}",,,,,,,
Kengo Kuma,{{Birth date and age|1954|8|8}},"[[Yokohama]], Japan",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,,Japanese,,,,,{{plainlist| * [[University of Tokyo]] * [[Columbia University]]}},,,,[[Satoko Shinohara]] }},,
Arata Isozaki,"{{birth date|1931|07|23|df=y}}<ref name=""arata"">{{cite web |last1=Goodwin |first1=Dario |title=Spotlight: Arata Isozaki |url=https://www.archdaily.com/529896/spotlight-arata-isozaki |website=ArchDaily |access-date=4 March 2019}}</ref>","[[Ōita (city)|Ōita]], [[Empire of Japan|Japan]]",{{death date and age|2022|12|28|1931|07|23|df=y}},"[[Naha]], [[Okinawa Prefecture]], Japan <ref name=""nyt"" />",Japanese,,,,"{{unbulleted list| 1986 [[Royal Gold Medal]] | 2019 [[Pritzker Prize]]<ref name=""auto"">{{cite web |last1=Allen |first1=Katherine |title=Arata Isozaki Named 2019 Pritzker Prize Laureate |url=https://www.archdaily.com/912450/arata-isozaki-named-2019-pritzker-prize-laureate |website=ArchDaily |date=5 March 2019 |access-date=5 March 2019}}</ref>}} }}",[[University of Tokyo]] (1954 and 1961),,,,Aiko Miyawaki,,
Kazuyo Sejima,{{birth date and age|1956|10|29|df=y}},"[[Hitachi, Ibaraki|Hitachi]], [[Ibaraki Prefecture]], Japan",,,Japanese,,,,[[Rolf Schock Prize]] (2005)<br>[[Pritzker Prize]] (2010)<br>[[Royal Gold Medal|RIBA Royal Gold Medal]] (2025) }},,,,,,,
Shigeru Ban,{{birth date and age|df=yes|1957|8|5}},"[[Tokyo]], Japan",,,Japanese,,,,Pritzker Prize (2014),[[Cooper Union|Cooper Union for the Advancement of Science and Art]],,,,Masako Ban,,
Sou Fujimoto,{{birth year and age|1971}}<!-- {{Birth date and age|1971|MM|DD}} -->,"[[Higashikagura, Hokkaido|Higashikagura]], [[Hokkaido]], Japan",<!-- {{Death date and age|YYYY|MM|DD|1971|MM|DD}} (death date then birth date) -->,,Japanese,Architect,,,,[[University of Tokyo]] [[École Spéciale d'Architecture]],,,,,,
