name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Albert Schweitzer,{{birth date|df=yes|1875|01|14}},"[[Kaysersberg]], [[Alsace–Lorraine]], German&nbsp;Empire",{{death date and age|df=yes|1965|9|4|1875|1|14}},"[[Lambaréné]], Gabon",,,,"{{unbulleted list | [[Quest for the historical Jesus]] | [[Reverence for Life]] | [[Consistent eschatology|Consistent ""thorough-going"" eschatology]] (posthumously)}}",,[[University of Strasbourg]],,,,{{hlist | Medicine | [[musicology]] | philosophy | theology}},{{marriage|[[Helene Bresslau Schweitzer|Helene Bresslau]]|June 1912|1957|end=d}},,,,
Ada E. Yonath,{{birth date and age|1939|6|22|df=yes}},"[[Jerusalem]],<br/>[[Mandatory Palestine]]",,,,,,Cryo bio-crystallography,,,{{ubl|[[Hebrew University of Jerusalem]]|[[Weizmann Institute of Science]]}},,,Crystallography,,,,,
Abdus Salam,{{birth date|df=yes|1926|1|29}},"[[Jhang]],<ref name=""auto"">{{Cite news |url=https://www.dawn.com/news/1311473|title=Abdus Salam: The real story of Pakistan's Nobel prize winner|first=Hasham|last=Cheema|date=29 January 2018 |work=[[Dawn (newspaper)|Dawn]]}}</ref> [[Punjab Province (British India)|Punjab Province]], [[British Raj|British India]] (present day [[Punjab]], [[Pakistan]])",{{death date and age|df=yes|1996|11|21|1926|1|29}},"[[Oxford]], England",[[British Raj|British Indian]] (1926–1947)<br />[[Pakistani people|Pakistani]] (1947–1996),,,"{{flatlist| *[[Electroweak theory]] *[[Goldstone boson]] *[[Grand Unified Theory]] *[[Higgs mechanism]] *[[Magnetic photon]] *[[Neutral current]] *[[Pati–Salam model]] *[[Quantum mechanics]] *[[Pakistan and its Nuclear Deterrent Program|Pakistan atomic research program]]<!---He had a secretive nature over this issue, he had secretive key role in both weapon (until 1974; when he left after he fallout with Bhutto) and peaceful scientific programmes. ----> *[[Space and Upper Atmosphere Research Commission|Pakistan space program]] *[[Preon]] *[[Standard Model]] *[[Strong gravity]] *[[Superfield]] *[[W and Z bosons]] }}",,"[[Government College University (Lahore)|Government College University]] ([[Bachelor of Arts|BA]])<br /> [[University of the Punjab]] ([[Master of Arts|MA]]) <br />[[St John's College, Cambridge]] ([[PhD]])",,,,,,,,,
Agatha Christie,{{Birth date|df=y|1890|9|15}},"[[Torquay]], [[Devon]], England",{{Death date and age|df=y|1976|1|12|1890|9|15}},"[[Winterbrook House]], [[Wallingford, Oxfordshire|Wallingford]], [[Oxfordshire]], England",,{{flatlist| *Novelist *short story writer *playwright *poet *memoirist }},,,,,,,,,,,,,
Alan Kay,{{birth date and age|1940|05|17}},"[[Springfield, Massachusetts]], U.S.",,,,,,[[Dynabook]]<br/>[[Object-oriented programming]]<br/>[[Smalltalk]]<br/>[[Desktop metaphor]] <br/>[[Graphical user interface]]<br/>[[Window (computing)|Windows]],ACM [[Turing Award]] (2003)<br/>[[Kyoto Prize]]<br/>[[Charles Stark Draper Prize]],,"[[University of Colorado, Boulder]] ([[Bachelor of Science|BS]])<br>[[University of Utah]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,[[Bonnie MacBird]],,,,
Alessandro Volta,{{Birth date|1745|02|18|df=yes}},"[[Como]], [[Duchy of Milan]]",{{Death date and age|1827|03|05|1745|02|18|df=yes}},"Como, [[Kingdom of Lombardy–Venetia]], [[Austrian Empire]]",,,,{{Plain list| * Improving the [[electrophorus]] (1775) * Discovering [[methane]] (1776) * Inventing the [[voltaic pile]] (1799) }},,,,,,,,,,,
Alfred Wegener,{{birth date|1880|11|1|df=y}},"[[Berlin]], [[German Empire]]",November 1930 (aged 50),[[Greenland]],German,,,[[Continental drift|Continental drift theory]]<br>[[Plate tectonics]]<br>[[Polflucht]]<br>{{no wrap|[[Wegener–Bergeron–Findeisen process]]}},,[[Humboldt University of Berlin|University of Berlin]] (PhD),,,,,,,,,
Anaximander,{{circa|610|lk=no}} BC,"[[Miletus]], [[Ionian League]]",{{circa|546|lk=no}} BC (aged {{circa}} 64),,,,,,,,,,,,,,,,
Anne Frank,{{birth date|df=yes|1929|6|12}},"[[Frankfurt]], Germany",{{circa|}}February or {{death date and age|1945|03||1929|6|12|df=y}},"[[Bergen-Belsen]], Germany",,Diarist,,,,,,,,,,,{{Plainlist| * [[Otto Frank]]† (father) * [[Edith Frank]]† (mother) }},,
Arthur Conan Doyle,{{birth date|df=y|1859|5|22}},"[[Edinburgh]], Scotland",{{death date and age|df=y|1930|7|7|1859|5|22}},"[[Crowborough]], Sussex, England",,{{Flatlist| * Writer * physician }},,,,,,,,,,,,,
Azim Premji,{{birth date and age|df=yes|1945|7|24}},"[[Bombay]], [[Bombay presidency]], [[British India]]<br>{{small|(Present-day [[Mumbai]], [[Maharashtra]], [[India]])}}<ref name=ebr>{{cite news|last=G. Craine|first=Anthony|title=Azim Premji|url=https://www.britannica.com/EBchecked/topic/710892/Azim-Premji|work=[[Encyclopædia Britannica]]|date=14 May 2010|access-date=10 August 2021}}</ref>",,,,Founder Chairman of [[Wipro]],,,,[[Stanford University]] ([[Bachelor of Engineering|B.S.E]])<ref name=forbesbill>{{cite news|url=https://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Azim-Premji_1UFS.html|title=Forbes List Directory|date=3 November 2009|work=[[Forbes]]|access-date=7 December 2009| archive-url= https://web.archive.org/web/20091129090553/http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Azim-Premji_1UFS.html| archive-date= 29 November 2009 | url-status= live}}</ref>,,,,,,"[[Rishad Premji]], Tariq Premji<ref>{{cite web|url=http://www.rediff.com/getahead/2007/jun/07rishad.htm|title=What you didn't know about Rishad Premji|date=7 June 2007|work=[[Rediff.com]]|access-date=7 December 2009}}</ref>",,,
Bessie Coleman,{{birth date |1892|01|26|mf=yes}},"[[Atlanta, Texas]], U.S.",{{Death date and age|1926|04|30|1892|01|26|mf=yes}},"[[Jacksonville, Florida]], U.S.",,,,[[First African-American]] and [[Native Americans in the United States|Native American]] female aviator,,,,,,,"{{marriage|Claude Glenn|1917|end=separated soon after<ref name=""marri"">{{cite web |author= Roni Morales|title= Bessie Coleman – Aviator|url=http://www.rootsweb.ancestry.com/~txecm/bessie_coleman.htm|date=November 1, 2014 |publisher= [[Rootsweb]]|access-date=December 17, 2017}}</ref>}}",,,,
Blaise Pascal,{{birth date|df=yes|1623|6|19}},"[[Clermont-Ferrand]], France",{{death date and age|df=yes|1662|8|19|1623|6|19}},"[[Paris]], France",,,,,,,,,,,,,,,
Carl Bosch,{{birth date|1874|8|27|df=y}},"[[Cologne]], [[German Empire]]",{{death date and age|1940|4|26|1874|8|27|df=y}},"[[Heidelberg]], [[Nazi Germany]]",,,,[[Bosch reaction]]<br>[[Urea#Production|Bosch–Meiser urea process]]<br>[[Haber–Bosch process]],,,[[Technische Universität Berlin]]<br>[[Leipzig University]],,,[[Chemistry]],,,,,
Carl Friedrich Gauss,{{birth date|df=yes|1777|4|30}},"[[Braunschweig|Brunswick]], Principality of Brunswick-Wolfenbüttel, {{awrap|Holy Roman Empire}}",{{death date and age|df=yes|1855|2|23|1777|4|30}},"[[Göttingen]], Kingdom of Hanover, {{awrap|German Confederation}}",,,,,,{{plainlist| * [[Braunschweig University of Technology|Collegium Carolinum]] * [[University of Göttingen]] * [[University of Helmstedt]] (PhD) }},,,,,,,,,
Charles Dickens,{{birth date|df=yes|1812|2|7}},"[[Portsmouth]], [[Hampshire]], England",{{death date and age|df=yes|1870|6|9|1812|2|7}},"[[Higham, Kent]], England",,Novelist,,,,,,,,,{{marriage|[[Catherine Dickens|Catherine Thomson Hogarth]]|1836|1858|end={{abbr|sep.|separated}}}},{{ublist|[[Charles Dickens Jr.]]|[[Mary Dickens]]|[[Kate Perugini]]|[[Walter Landor Dickens]]|[[Francis Dickens]]|[[Alfred D'Orsay Tennyson Dickens]]|[[Sydney Smith Haldimand Dickens]]|[[Henry Fielding Dickens]]|[[Dora Annie Dickens]]|[[Edward Dickens]]}},,,
Chiang Kai-shek,,,,,,,,,,,,,,,,,,,
Coco Chanel,{{Birth date|df=yes|1883|8|19}}<ref>{{cite web|url=https://time.com/3994196/coco-chanel-1883/|title=How Poverty Shaped Coco Chanel|magazine=[[Time (magazine)|Time]]|date=19 August 2015|access-date=15 March 2020|archive-date=8 November 2020|archive-url=https://web.archive.org/web/20201108125226/https://time.com/3994196/coco-chanel-1883/|url-status=live}}</ref>,"[[Saumur]], France",{{death date and age|df=yes|1971|1|10|1883|8|19}},"Paris, France",,{{Hlist|[[Hatmaking|Milliner]]|dressmaker|fashion designer}},,{{ubl|Double-C logo|Chanel suit|[[Little black dress]]|The Chanel bag|[[Chanel No. 5]]}},"[[Neiman Marcus Fashion Award]], 1957",,,,,,,,,,
Daniel Kahneman,{{birth date|1934|3|5}},"[[Tel Aviv]], [[Mandatory Palestine|British Mandate of Palestine]]",{{death date and age|2024|3|27|1934|3|5}},"[[Nunningen]], Switzerland","American, Israeli",,,,,,,,,{{indented plainlist| * [[Psychology]] * Economics }},,,,,
David Attenborough,{{birth date and age|df=y|1926|5|8}},"[[Isleworth]], Middlesex, England",,,,,1951–present,,,,"{{indented plainlist| * [[Clare College, Cambridge]] ([[Master of Arts (Oxford, Cambridge and Dublin)|MA]]) * [[London School of Economics]] }}",,,,,,,,
Diego Maradona,{{Birth date|1960|10|30|df=yes}},"[[Lanús]], Argentina",{{death date and age|2020|11|25|1960|10|30|df=yes}},"[[Dique Luján]], Argentina",,,,,,,,,,,,,,,
Dorothy Hodgkin,{{Birth date|1910|05|12|df=y}},"[[Cairo]], [[Khedivate of Egypt|Egypt]]",{{death date and age|1994|07|29|1910|05|12|df=y}},"[[Ilmington]], [[Warwickshire]], England",British,,,{{Plainlist| * Development of [[X-ray crystallography|protein crystallography]] * Determining the structure of [[insulin]]}},,,"{{Plainlist| * {{nowrap|[[Somerville College, Oxford]] ([[Bachelor's degree|BA]])}} * {{nowrap|[[University of Cambridge]] ([[Doctorate|PhD]])}}<!-- neither Somerville College nor Newnham College actually award degrees-->}}",,,[[Biochemistry]]<br>[[X-ray crystallography]],{{marriage|[[Thomas Lionel Hodgkin]]|1937|25 March 1982|end=d}},3,[[John Winter Crowfoot]]<br>[[Grace Mary Crowfoot|Grace Mary Hood]],,
Doris Lessing,{{Birth date|df=yes|1919|10|22}},"[[Kermanshah]], [[Qajar Iran|Persia]]",{{Death date and age|df=yes|2013|11|17|1919|10|22}},"London, England",British,Writer,,,,,,,,,,,,,{{flatlist| * Novel * short story * biography * drama * [[libretto]] * poetry }}
Sir Edmund Hillary,{{Birth date|1919|7|20|df=yes}},"[[Auckland]], New Zealand",{{Death date and age|2008|1|11|1919|7|20|df=yes}}<!-- DO ''not'' CHANGE NZ DATE! -->,"Auckland, New Zealand",,,,"With [[Tenzing Norgay]], first to reach summit of [[Mount Everest]]",,,,,,,{{plainlist| *{{marriage|Louise Mary Rose|1953|1975|end=died}} *{{marriage|June Mulgrew|1989}}}},"3, including [[Peter Hillary|Peter]] and [[Sarah Hillary (artist)|Sarah]]",,,
Edmund Husserl,8 April 1859,"[[Proßnitz]], [[Margraviate of Moravia|Moravia]], [[Austrian Empire]]",{{Death date and age|df=yes|1938|04|27|1859|04|08}},"[[Freiburg]], [[Nazi Germany|Germany]]",,,,,,,{{ubli,,,,,,,,
,{{birth-date|17 May 1749}},"[[Berkeley, Gloucestershire]], England",{{Death date and age|1823|1|26|1749|5|17|df=y}},"Berkeley, Gloucestershire, England",,,,{{ubl|[[Vaccination]]|[[Smallpox vaccine]]}} }},,"{{Plainlist| * [[St George's, University of London]] * [[University of St Andrews]] }}",,,,"Medicine/surgery, natural history",{{marriage|Catherine Kingscote|1788|1815|reason=died}},3,,,
Eleanor,,,,,,,,,,,,,,,,,,,
Elizabeth Blackwell,{{birth date|1821|2|3|df=yes}},"[[Bristol]], England",{{death date and age|df=yes|1910|5|31|1821|2|3}},"[[Hastings]], England",British and American,{{unbulleted list|Physician}},,,,,[[Geneva Medical College]] }},,,,,,,,
Florence Griffith Joyner,"{{birth date|1959|12|21}}<ref name=""sports-reference.com""/>","[[Los Angeles, California]], U.S.<ref name=""sports-reference.com""/>","{{death date and age|1998|9|21|1959|12|21}}<ref name=""sports-reference.com""/>","[[Mission Viejo, California]], U.S.<ref name=""sports-reference.com""/>",,,,,,,,,,,,,,,
