name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,awards,alma_mater,spouse,children,genre
Doston Ibragimov,{{Birth date and age|1997|1|23}},"[[Navoiy]], Uzbekistan<ref>{{Cite web|url=https://championat.asia/oz/news/superligada-deyarli-bir-xil-ikkita-supergol-urgan-doston-ibragimov-bilan-suhbat|title=Superligada deyarli bir xil ikkita supergol urgan Doston Ibragimov bilan suhbat|website=CHAMPIONAT.asia}}</ref>",,,,,,,,,,
Akmal Shorakhmedov,{{birth date and age|1986|5|10|df=yes}},"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Odil Akhmedov <br>{{small|Одил Ахмедов}},{{birth date and age|df=yes|1987|11|25}},"[[Namangan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Nodirbek Abdusattorov,{{Birth date and age|df=y|2004|09|18}},"[[Tashkent]], Uzbekistan",,,,,,,,,,
Shahzodbek Nurmatov,{{Birth date and age|1991|09|18|df=y}},"[[Tashkent]], Uzbekistan",,,,,,,,,,
Rustam Ashurmatov,{{birth date and age|df=yes|1996|7|7}},"[[Kokand]], [[Uzbekistan]]",,,,,,,,,,
Jahongir Ergashev <br /> Джахонгир Эргашев,{{birth date and age|1994|03|6|df=yes}},"[[Dushanbe]], [[Tajikistan]]<ref name=""globalsportsarchive.com""/>",,,,,,,,,,
Islom Kobilov,{{birth date and age|1997|7|1|df=yes}},"[[Fergana]], [[Uzbekistan]]",,,,,,,,,,
Temur Juraev,{{birth date and age|df=yes|1984|5|12}},"[[Shakhrisabz]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Dostonbek Tursunov,{{Birth date and age|df=yes|1995|6|13}},"[[Oltiariq]], [[Uzbekistan]]",,,,,,,,,,
Otabek Shukurov,{{birth date and age|1996|06|22|df=yes}},"[[Chirakchi]], Uzbekistan",,,,,,,,,,
Mirjalol Qosimov,{{Birth date and age|1970|9|17|df=y}},"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Dilmurod Nazarov,{{birth date and age|1976|4|12|df=y}},"[[Tashkent]], [[Uzbekistan]]",,,,,,,,,,
Odiljon Hamrobekov,{{birth date and age|1996|02|13|df=yes}},"Shorqorgon, [[Namangan Region]], [[Uzbekistan]]",,,,,,,,,,
Dostonbek Khamdamov <br>{{small| Достонбек Хамдамов}},{{birth date and age|1996|7|24|df=yes}},"[[Bekabad]], [[Uzbekistan]]",,,,,,,,,,
Shavkat Mirziyoyev,{{birth date and age|1957|7|24|df=y}},"[[Zomin District]], Uzbek SSR, Soviet Union<br>(present-day [[Uzbekistan]])",,,,,,,[[Tashkent Institute of Irrigation and Melioration]],[[Ziroat Mirziyoyeva]],"3, including [[Saida Mirziyoyeva|Saida]]",
Abdulla Aripov,{{birth date and age|1961|5|24|df=y}},"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,[[Uzbekistan]]i,,,"{{Orden ""Mehnat Shuhrati""}}",[[Tashkent University of Information Technologies]],,,
Rustam Azimov,{{nowrap|{{birth date and age|1958|9|20}}}},"[[Tashkent]], [[Soviet Union]]<br>{{small|(now [[Uzbekistan]])}}",,,,,,,,,[[Islom Azimov]],
Shavkat Mirziyoyev,{{birth date and age|1957|7|24|df=y}},"[[Zomin District]], Uzbek SSR, Soviet Union<br>(present-day [[Uzbekistan]])",,,,,,,[[Tashkent Institute of Irrigation and Melioration]],[[Ziroat Mirziyoyeva]],"3, including [[Saida Mirziyoyeva|Saida]]",
Rustam Azimov,{{nowrap|{{birth date and age|1958|9|20}}}},"[[Tashkent]], [[Soviet Union]]<br>{{small|(now [[Uzbekistan]])}}",,,,,,,,,[[Islom Azimov]],
