name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Cesar Chavez,{{birth date|1927|3|31|mf=y}},"[[Yuma, Arizona]], U.S.",{{nowrap|{{death date and age|1993|4|23|1927|3|31|mf=y}}}},"[[San Luis, Arizona]], U.S.",,{{unbulleted list |[[Labor leader]] |[[Civil rights]] [[Activism|activist]]}},,,[[Presidential Medal of Freedom]] (1994),,,,,[[Helen Fabela Chávez]],8,
Aung San Suu Kyi,,,,,,,,,,,,,,,,
Lech Wałęsa,{{birth date and age|1943|9|29|df=y}},"[[Popowo, Gmina Tłuchowo|Popowo]], [[Occupation of Poland (1939-1945)|German-occupied]] Poland",,,,,,,[[List of awards and honors received by Lech Wałęsa|Full list]],,,,,{{marriage|[[Danuta Wałęsa|Mirosława Danuta Gołoś]]|8 November 1969}},"8, including [[Jarosław Wałęsa|Jarosław]]",
Eleanor Roosevelt,{{birth date|1884|10|11}},"[[New York City]], U.S.",{{death date and age|1962|11|7|1884|10|11}},"New York City, U.S.",,,,,,,,,,{{marriage|[[Franklin D. Roosevelt]]|1905|1945|end=died}},"6, including [[Anna Roosevelt Halsted|Anna]], [[James Roosevelt|James]], [[Elliott Roosevelt (general)|Elliott]], [[Franklin D. Roosevelt Jr.|Franklin Jr.]], and [[John Aspinwall Roosevelt|John]]",{{plainlist| * [[Elliott Roosevelt (socialite)|Elliott Roosevelt]] * [[Anna Hall Roosevelt|Anna Rebecca Hall]] }}
Desmond Tutu,,,,,,,,,,,"{{indented plainlist| * [[Pretoria Bantu Normal College]] * [[University of South Africa]] ([[Bachelor of Arts|BA]]) * [[St Peter's Theological College]] ([[Licentiate of Theology|ThL]]) * [[King's College London]] ([[Bachelor of Divinity|BDiv]], [[Master of Theology|ThM]]) }}",,,,,
Dalai Lama,,,,,,,,,,,,,,,,
Ban Ki-moon,{{birth date and age|1944|6|13|df=y}},"[[Eumseong County|Insei]], [[Chūseihoku Province]], [[Korea under Japanese rule|Korea, Empire of Japan]]",,,,,,,,,{{ubl | [[Seoul National University]] ([[Bachelor of Arts|BA]]) | [[Harvard University]] ([[Master of Public Administration|MPA]]) }},,,{{marriage|Yoo Soon-taek|1971}},3,
Kofi Annan,{{birth date|1938|04|08|df=y}},"[[Kumasi]], [[Gold Coast (British colony)|Gold Coast]]",{{death date and age|2018|08|18|1938|04|08|df=y}},"[[Bern]], Switzerland",,{{hlist|Diplomat|economist}},,,[[List of awards and honours received by Kofi Annan|Full list]],,{{unbulleted list|item_style={{longitem}}|[[Kwame Nkrumah University of Science and Technology]]|[[Macalester College]] ([[Bachelor of Arts|BA]])|[[Graduate Institute of International and Development Studies]]|[[Massachusetts Institute of Technology]] ([[Master of Science|MS]])}},,,{{plainlist}} * {{marriage|Titi Alakija|1965|1983|end=div}} * {{marriage|Nane Lagergren<br />|1984|<!--Omission per Template:Marriage instructions-->}} {{endplainlist}},"3, including [[Kojo Annan|Kojo]]",
Gro Harlem Brundtland,{{birth date and age|1939|04|20|df=y}},"[[Bærum]], [[Akershus]], [[Norway]]",,,,,,,,[[University of Oslo]] ([[Candidate of Medicine|Cand.Med.]])<br />[[Harvard University]] ([[Professional degrees of public health|MPH]]),,,,{{marriage|[[Arne Brundtland|Arne Olav Brundtland]]|1960|2024|end=d.}},"4, including [[Knut Brundtland|Knut]]","[[Gudmund Harlem]], [[Inga Brynolf|Inga Margareta Elisabet Brynolf]]"
The Baroness Thatcher,,,,,,,,,,,,,,,,
Indira Gandhi,{{birth date|1917|11|19|df=yes}},"[[Prayagraj|Allahabad]], [[United Provinces of Agra and Oudh|Agra and Oudh]], India",{{death date and age|1984|10|31|1917|11|19|df=yes}},"New Delhi, India",,[[Politician]],,,[[Indira Gandhi#Awards and honours|See below]],,"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",,,{{marriage|[[Feroze Gandhi]]|26 March 1942|8 September 1960|reason=died}},{{ubl|[[Rajiv Gandhi]]|[[Sanjay Gandhi]]}},
