1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata6,2blankname2,2namedata2,allegiance,alma_mater,alongside1,alongside2,alt,ambassador_from2,appointer,awards,birth_date,birth_name,birth_place,birthname,branch,branch_label,caption,child,children,church,citizenship,coatofarms,coatofarms_article,coatofarms_link,constituency,constituency1,constituency12,constituency13,constituency14,constituency15,constituency2,constituency4,constituency5,constituency6,constituency7,constituency8,constituency9,constituency_mp6,constituency_mp9,conviction_status,country2,criminal_charge,death_cause,death_date,death_place,deputy,deputy1,deputy2,deputy3,deputy4,deputy6,description,district,district1,doctoral_advisor,education,embed,enthroned,era,father,field,filename,first,footnotes,formation,governor3,governor4,governor_general,hangul,hanja,height_m,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,image,image_size,incumbent,incumbentsince,institutions,ipa,jr/sr1,jr/sr2,known_for,last,leader1,leader3,leader4,leader5,leader8,main_interests,majority,majority6,module,module2,monarch,monarch1,monarch2,monuments,mother,movement,name,nationality,native_name,native_name_lang,nickname,notable_works,occupation,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,office9,order,order1,order2,order3,order4,order6,order9,organisation,organization,other_names,otherparty,parents,parliament6,parliament9,partner,party,pos,post,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president11,president2,president3,president6,president7,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,profession,rank_label,region,relatives,residence,resting_place,resting_place_coordinates,restingplace,school_tradition,see,servicenumber,serviceyears,serviceyears_label,signature,signature_alt,signature_size,spouse,state,state1,state2,state_house1,status,status9,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice7,suboffice8,suboffice9,subterm10,subterm11,subterm12,subterm13,subterm14,subterm7,subterm8,subterm9,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,term,term10,term11,term12,term13,term14,term15,term4,term5,term6,term7,term_end,term_end1,term_end10,term_end11,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label10,term_label2,term_label3,term_label4,term_start,term_start1,term_start10,term_start11,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,title7,titlestyle,trial,type,vicepresident,vicepresident1,vicepresident3,website,years_active
,,,,,,,,,,,,,,<!-- United States -->,,,,,,,[[Presidential Medal of Freedom]] (1994),{{birth date|1927|3|31|mf=y}},,"[[Yuma, Arizona]], U.S.",Cesario Estrada Chavez,[[United States Navy]],Branch,Chavez in 1979,,8,,,,,,,,,,,,,,,,,,,,,,,,,{{nowrap|{{death date and age|1993|4|23|1927|3|31|mf=y}}}},"[[San Luis, Arizona]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Chavez 40915a (cropped2).tif,,,,,,,,,,,,,,,,,,{{Infobox military person | embed = yes,,,,,,,,Cesar Chavez,,,,,,{{unbulleted list |[[Labor leader]] |[[Civil rights]] [[Activism|activist]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rank,,,,[[Cesar E. Chavez National Monument]],,,,,}},1944–1946,,,,,[[Helen Fabela Chávez]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Aung San Suu Kyi at a religious ceremony in Nay Pyi Taw in 2019,,,,,,,,,,Aung San Suu Kyi in 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Excellency|Her Excellency]]<br />[[Burmese honorifics|Daw]],,,,,"Aung_San_Suu_Kyi_visited_the_European_Commission,_met_with_Federica_Mogherini_(12)_(cropped).jpg",,,,,,,,,yes,,,,,,,,,,,,,,,,,Aung San Suu Kyi,,{{nobold|အောင်ဆန်းစုကြည်}},my,,,,[[State Counsellor of Myanmar]],[[Opposition (Myanmar)#List of leaders of the opposition since 2011|Leader of the Opposition]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,''Office established'',Sai Hla Kyaw,,,,,,,,,,,,,,{{ubl|[[Htin Kyaw]]|[[Win Myint]]}},[[Thein Sein]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Min Aung Hlaing]] (as [[Chairman of the State Administration Council]]),Thein Sein {{Collapsed infobox section begin,,,,,,,,,,,,,,,,,,,,,,,,,1 February 2021,29 January 2016,,,,,,,,,,,,,,,,6 April 2016,2 May 2012,,,,,,,,,,,,,,,,border:1px dashed lightgrey }},,,,,,,
,,,,,,,,,,,,,,,,,,,,,[[List of awards and honors received by Lech Wałęsa|Full list]],{{birth date and age|1943|9|29|df=y}},,"[[Popowo, Gmina Tłuchowo|Popowo]], [[Occupation of Poland (1939-1945)|German-occupied]] Poland",,,,Wałęsa in 2019,,"8, including [[Jarosław Wałęsa|Jarosław]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lech Wałęsa (2019), FORUM 2000, Prague (2).jpg",,,,,,,,,,,,,,,,,,{{Listen|pos=center|embed=yes|filename=L Walesa-Strajk zakonczony.ogg|title=Lech Wałęsa's voice|type=speech|description=Wałęsa following the signing of the Gdańsk Agreement<br/>Recorded 31 August 1980}} }},,,,,,,,Lech Wałęsa,,,,,,,[[President of Poland]],,,,,,,,,,,,,,"<!-- ""Nth President"" count removed as a US convention, not used Europe -->",,,,,,,,,,,,,,,[[Solidarity (Polish trade union)|Solidarity]] (1980–1988)<br />[[Solidarity Citizens' Committee]] (1988–1993)<br />[[Nonpartisan Bloc for Support of Reforms]] (1993–1997)<br />[[Solidarity Electoral Action]] (1997–2001)<br />[[Christian Democracy of the Third Polish Republic]] (1997–2001),,,[[Wojciech Jaruzelski]] (in country)<BR>[[Ryszard Kaczorowski]] (as the last [[Polish government-in-exile|President in exile]]){{efn|Authority transferred on 22 December 1990.}},,,,,,,,,,,,,,,,,,,,,,[[Tadeusz Mazowiecki]]<br />[[Jan Krzysztof Bielecki]]<br />[[Jan Olszewski]]<br />[[Waldemar Pawlak]] (caretaker)<br />[[Hanna Suchocka]]<br />Waldemar Pawlak<br />[[Józef Oleksy]],,,,,,,,,,,,,,,,,,,,,,,,Lech Walesa Signature.svg,,,{{marriage|[[Danuta Wałęsa|Mirosława Danuta Gołoś]]|8 November 1969}},,,,,,,,,,,,,,,,,,,,,,,[[Aleksander Kwaśniewski]],,,,,,,,,,,,,,,,,,,,,,,,,,22 December 1995,,,,,,,,,,,,,,,,,22 December 1990,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,{{birth date|1884|10|11}},Anna Eleanor Roosevelt,"[[New York City]], U.S.",,,,"Roosevelt, {{circa|1946–1947}}",,"6, including [[Anna Roosevelt Halsted|Anna]], [[James Roosevelt|James]], [[Elliott Roosevelt (general)|Elliott]], [[Franklin D. Roosevelt Jr.|Franklin Jr.]], and [[John Aspinwall Roosevelt|John]]",,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1962|11|7|1884|10|11}},"New York City, U.S.",,,,,,,,,,,,,,,,,,,,,,Franklin D. Roosevelt,,,,,,,,,,CT 74-53 (3x4 cropped).jpg<!--do not change without discussion at Talk page-->,,,,,,,,,,,,,,,,,,,,,,,,,,Eleanor Roosevelt,,,,,,,1st Chair of the [[Presidential Commission on the Status of Women]],1st United States Representative to the [[United Nations Commission on Human Rights]],,,,,1st Chair of the [[United Nations Commission on Human Rights]],[[First Lady of the United States]],[[First Ladies and Gentlemen of New York|First Lady of New York]],,,,,,,,,,,,,,,,,{{plainlist| * [[Elliott Roosevelt (socialite)|Elliott Roosevelt]] * [[Anna Hall Roosevelt|Anna Rebecca Hall]] }},,,,[[Democratic Party (United States)|Democratic]],,,Office established,Office established,,,,,,Office established,[[Lou Henry Hoover]],Catherine Smith,,,,,,[[John F. Kennedy]],[[Harry S. Truman]],,,[[Franklin D. Roosevelt]],,,,,,,,,,,,,,,,,,,,,"[[Home of Franklin D. Roosevelt National Historic Site|Springwood Estate, Hyde Park, New York]], U.S.",,,,,,,,,{{marriage|[[Franklin D. Roosevelt]]|1905|1945|end=died}},,,,,,,,,,,,,,,,,,,,,,,[[Esther Peterson]],[[Mary Pillsbury Lord]],,,,,,[[Charles Malik]],[[Bess Truman]],Edith Lehman,,,,,,,,,,,,,,,,,"November 7, 1962","January 20, 1953<ref>{{cite web | title=Eleanor Roosevelt and Harry Truman Correspondence: 1953–60| publisher=Harry S. Truman Presidential Library and Museum | date=September 24, 2015 | url=http://www.trumanlibrary.org/eleanor/1953.html | archive-url=https://web.archive.org/web/20150924000902/http://www.trumanlibrary.org/eleanor/1953.html | archive-date=September 24, 2015 | url-status=dead | access-date=August 23, 2019}}</ref>",,,"December 30, 1952<ref>{{cite book|last=Fazzi|first=Dario|title=Eleanor Roosevelt and the Anti-Nuclear Movement: The Voice of Conscience|url=https://books.google.com/books?id=w87BDQAAQBAJ&pg=PA109|date=December 19, 2016|publisher=Springer|isbn=978-3-319-32182-0|at=p. 109, Note 61}}</ref>","April 12, 1945","December 31, 1932",,,,,,,,,In role,In role,"January 20, 1961","January 27, 1947<ref>{{cite web | title=Eleanor Roosevelt and Harry Truman Correspondence: 1947 | publisher=[[Harry S. Truman Presidential Library and Museum]] | date=November 14, 2015 | url=https://www.trumanlibrary.org/eleanor/1947.html | archive-url=https://web.archive.org/web/20151114005433/https://www.trumanlibrary.org/eleanor/1947.html | archive-date=November 14, 2015 | url-status=dead | access-date=August 23, 2019}}</ref>",,,"April 29, 1946<ref>{{Cite web|url=https://www.fdrlibrary.org/documents/356632/390886/sears.pdf/c300e130-b6e6-4580-8bf1-07b72195b370|title=Eleanor Roosevelt and the Universal Declaration of Human Rights|last=Sears|first=John|date=2008|publisher=[[Franklin D. Roosevelt Presidential Library and Museum]]|format=PDF}}</ref>","March 4, 1933","January 1, 1929",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Portrait photograph of Desmond Tutu wearing glasses and a black coat with a clerical collar,,,,,,,,,,Tutu {{circa|2004}},,,[[Anglican Church of Southern Africa]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{indented plainlist| * [[Pretoria Bantu Normal College]] * [[University of South Africa]] ([[Bachelor of Arts|BA]]) * [[St Peter's Theological College]] ([[Licentiate of Theology|ThL]]) * [[King's College London]] ([[Bachelor of Divinity|BDiv]], [[Master of Theology|ThM]]) }}",,7 September 1986,,,,,,,,,,,,,,{{pre-nominal styles|size=100%|MRevd}},{{post-nominals|country=ZAR|OMSG|CH|GCStJ|size=100%}},,,,Archbishop-Tutu-medium.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Desmond Tutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Philip Russell (bishop)|Philip Russell]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Anglican Diocese of Cape Town|Cape Town]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Njongonkulu Ndungane]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * [[Anglican Archbishop of Cape Town|Archbishop of Cape Town]] * {{longitem|Bishop of the [[Anglican Church of Southern Africa]]}} * {{longitem|Chairman of the [[Truth and Reconciliation Commission (South Africa)|Truth and Reconciliation Commission]]}}}},,,,,,,,,
,,,,,,,,,,,,,,,,,,,,<!-- Optional. -->,,,,,,,,,,,,,"<!-- Optional. Just the image name, no File: or Image: coding. -->",<!-- Required if {{{coatofarms}}} field is used. -->,<!-- Optional. If {{{coatofarms}}} field is used. -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[1st Dalai Lama|Gendün Drubpa]], 1st Dalai Lama<br />(posthumously awarded after 1578)",,1391,,,,,,,,,,,,The Dalai Lama in 2012.jpg,,"[[14th Dalai Lama|Tenzin Gyatso, 14th Dalai Lama]]",22 February 1940,,,,,,,,,,,,,,,,,,,,,,,Dalai Lama,,{{bo-textonly|ཏཱ་ལའི་བླ་མ་}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalai Lama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{ubl|[[McLeod Ganj]], Dharamshala, India (1959–present)|[[Potala Palace]] (1649–1959, winter residence)|[[Norbulingka]] (1783–1959, summer residence)}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|dalailama.com/}},
,,,,,,,,,,,,,,,,,,,,,,{{birth date and age|1944|6|13|df=y}},,"[[Eumseong County|Insei]], [[Chūseihoku Province]], [[Korea under Japanese rule|Korea, Empire of Japan]]",,,,Ban in 2016,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl | [[Asha-Rose Migiro]] | [[Jan Eliasson]] }},,,,,,,,,,{{ubl | [[Seoul National University]] ([[Bachelor of Arts|BA]]) | [[Harvard University]] ([[Master of Public Administration|MPA]]) }},,,,,,,,,,,,,%반기문,潘基文,,,,,,,File:Ban Ki-moon February 2016.jpg,,,,,"{{IPA|ko|pan.ɡi.mun|}}<!-- Please do not change to [ban.ɡi.mun]. Hangeul ""ㅂ"" is voiceless in an initial position. --> }}",,,,,,,,,,,,,{{Listen voice|filename=Ban Ki-moon voice.ogg|description=Ban addressing the [[Universal Postal Union]]<br />Recorded 13 April 2015}},{{Infobox Korean name/auto,,,,,,,Ban Ki-moon,,{{nobold|반기문}},ko,,,,8th [[Secretary-General of the United Nations]],[[Ministry of Foreign Affairs (South Korea)|Minister of Foreign Affairs and Trade]],,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Independent politician|Independent]],,,[[Kofi Annan]],[[Yoon Young-kwan]],,,,,,,,,,,,,,,[[Roh Moo-hyun]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Ki Moon Signature.svg,,,{{marriage|Yoo Soon-taek|1971}},,,,,,,,,,,,,,,,,,,,,,,[[António Guterres]],[[Song Min-soon]],,,,,,,,,,,,,,,,,,,,,,,,,31 December 2016,1 December 2006,,,,,,,,,,,,,,,,1 January 2007,17 January 2004,,,,,,,,,,,,,,,,,,,,,,,
,{{nowrap|Secretary-General}},,,,,,{{ublist|[[Ban Ki-moon]] (UN)|[[Nabil Elaraby]] (League)}},,,,,Secretary-General,Boutros Boutros-Ghali,,,,,,,,[[List of awards and honours received by Kofi Annan|Full list]],{{birth date|1938|04|08|df=y}},,"[[Kumasi]], [[Gold Coast (British colony)|Gold Coast]]",,,,Annan in 2012,,"3, including [[Kojo Annan|Kojo]]",,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2018|08|18|1938|04|08|df=y}},"[[Bern]], Switzerland",{{ublist|[[Louise Fréchette]]|[[Mark Malloch Brown]]}},,,,,,,,,,{{unbulleted list|item_style={{longitem}}|[[Kwame Nkrumah University of Science and Technology]]|[[Macalester College]] ([[Bachelor of Arts|BA]])|[[Graduate Institute of International and Development Studies]]|[[Massachusetts Institute of Technology]] ([[Master of Science|MS]])}},,,,,,,,,,,,,,,,,,[[Busumuru]],,,Kofi Annan 2012 (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Kofi Annan,,,,,,{{hlist|Diplomat|economist}},Secretary-General of the United Nations,UN and [[Arab League]] Envoy to Syria,,,,,[[Under-Secretary-General]] for [[United Nations Department of Peace Operations|Peacekeeping&nbsp;Operations]],[[Chancellor of the University of Ghana]],,,,,,,7th,,,,,,,,,,,,,,,,,,[[Boutros Boutros-Ghali]],''Position established'',,,,,,[[Marrack Goulding]],[[Emmanuel Noi Omaboe]],,,,,,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list|item_style={{longitem}}|[[Kobina Annan]] (brother)|[[Adeyemo Alakija]] {{nowrap|(father-in-law)}}|[[Nina Lagergren]] {{nowrap|(mother-in-law)}}|[[Aduke Alakija]] {{nowrap|(sister-in-law)}}}},,,,,,,,,,Kofi Annan signature.svg,,,{{plainlist}} * {{marriage|Titi Alakija|1965|1983|end=div}} * {{marriage|Nane Lagergren<br />|1984|<!--Omission per Template:Marriage instructions-->}} {{endplainlist}},,,,,,,,,,,,,,,,,,,,,,,[[Ban Ki-moon]],[[Lakhdar Brahimi]],,,,,,[[Bernard Miyet]],[[Mary Chinery-Hesse]],,,,,,,,,,,,,,,,,,31 December 2006,31 August 2012,,,31 December 1996,1 August 2018,,,,,,,,,,,,1 January 1997,23 February 2012,,,1 March 1993,2008,,,,,,,,,,,,,,,,,,{{Official website|kofiannanfoundation.org|name=Foundation}} }},
,,,{{nowrap|Secretary-General}},,,,,,[[Kofi Annan]],,,,,,[[University of Oslo]] ([[Candidate of Medicine|Cand.Med.]])<br />[[Harvard University]] ([[Professional degrees of public health|MPH]]),,,,,,,{{birth date and age|1939|04|20|df=y}},Gro Harlem,"[[Bærum]], [[Akershus]], [[Norway]]",,,,Brundtland in 1989,,"4, including [[Knut Brundtland|Knut]]",,,,,,,,,,,,,,,[[Oslo (Storting constituency)|Oslo]],,,,,,,,,,,,,,,,,[[Sissel Rønbeck]] <br> Ivar Ødegaard <br> [[Marit Nybakk]] <br> [[Bjørn Tore Godal]] <br> [[Rune E. Kristiansen]],,,,,,,,,,,,,,,,,,,,,,,,,,Brundtland.jpg,,,,,,,,,,,,,,,,,,,,[[Olav V]]<br />[[Harald V]],Olav V,Olav V,,,,Gro Harlem Brundtland,,,,,,,[[Prime Minister of Norway]],,,,,,,[[Director-General of the World Health Organization]],Leader of the [[Labour Party (Norway)|Labour Party]],[[Minister of Climate and the Environment (Norway)|Minister of the Environment]],[[Storting|Member of the Norwegian Parliament]],,,,,,,,,,,,,,,"[[Gudmund Harlem]], [[Inga Brynolf|Inga Margareta Elisabet Brynolf]]",,,,[[Labour Party (Norway)|Labour]],,,[[Jan P. Syse]],[[Kåre Willoch]],,,,,,[[Odvar Nordli]],[[Hiroshi Nakajima]],[[Reiulf Steen]],[[Tor Halvorsen]],,,,,,,,,,,,,,,,,,[[Trygve Bratteli]]<br />Odvar Nordli,,,,,,,,,,,,,,,,,,Gro Harlem Brundtland Signature.svg }},,,{{marriage|[[Arne Brundtland|Arne Olav Brundtland]]|1960|2024|end=d.}},,,,,,,,,,,,,,,,,,,,,,,[[Thorbjørn Jagland]],Jan P. Syse,,,,,,Kåre Willoch,[[Lee Jong-wook]],Thorbjørn Jagland,[[Rolf Arthur Hansen|Rolf A. Hansen]],,,,,,,,,,,,,,,,25 October 1996,16 October 1989,,,14 October 1981,21 July 2003,1992,8 October 1979,30 September 1997,,,,,,,,,3 November 1990,9 May 1986,,,4 February 1981,13 May 1998,1981,6 September 1974,1 October 1977,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Half-length portrait of Thatcher. She is wearing a black suit and pearls, with a brooch on her left lapel. Her hands are clasped in front of her, adorned with rings. The background is pale and softly lit.",,,,,,,,,,"Studio portrait, {{circa|1995–96}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Geoffrey Howe]] {{nowrap|(1989–90)}},,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Pre-nominal styles|RHon|size=100%}},{{Post-nominals|country=GBR|size=100%|LG|OM|DStJ|PC|FRS|HonFRSC}},,Margaret Thatcher stock portrait (cropped).jpg,,,,,,,,,,,,,,,,,,,,"[[Elizabeth&nbsp;II]] <!-- Whitelaw did not acquire the title of Deputy PM. (Hennessy 2001, p. 405.) -->",Elizabeth&nbsp;II,,,,,The Baroness Thatcher,,,,,,,[[Prime Minister of the United Kingdom]],[[Leader of the Opposition (United Kingdom)|Leader of the Opposition]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[James Callaghan]],,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Harold Wilson]] * James Callaghan }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[John Major]],,,,,,,,,,,,,,,,,,,,,,,,,,28 November 1990,4 May 1979,,,,,,,,,,,,,,,,4 May 1979,11 February 1975,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,[[Indira Gandhi#Awards and honours|See below]],{{birth date|1917|11|19|df=yes}},Indira Nehru,"[[Prayagraj|Allahabad]], [[United Provinces of Agra and Oudh|Agra and Oudh]], India",,,,Gandhi in 1983 }},,{{ubl|[[Rajiv Gandhi]]|[[Sanjay Gandhi]]}},,,,,,,,"[[Medak Lok Sabha constituency|Medak]], [[Telangana|Andhra Pradesh]]","[[Chikmagalur Lok Sabha constituency|Chikmagalur]], [[Karnataka]]","[[Rae Bareli Lok Sabha constituency|Rae Bareli]], [[Uttar Pradesh]]",[[List of Rajya Sabha members from Uttar Pradesh|Uttar Pradesh]],,,,,,,,,,,,,[[Assassination of Indira Gandhi|Assassination]],{{death date and age|1984|10|31|1917|11|19|df=yes}},"New Delhi, India",,,,,,,,,,,"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",,,,[[Jawaharlal Nehru]],,,,,,,,,,,,,,,,,Indira Gandhi official portrait.png,,,,,,,,,,,,,,,,,,{{Listen|pos=center|embed=yes|filename=Indira Gandhi voice.ogg|title=Indira Gandhi's voice|type=speech|description=Gandhi on [[India–United States relations]]<br/>Recorded 29 July 1982}},,,,,,[[Kamala Nehru]],,Indira Gandhi,,,,,,[[Politician]],"<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Prime Minister of India]]",,"<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->President of the [[Indian National Congress (Indira)]]","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[President of the Indian National Congress]]","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Member of Parliament, Lok Sabha|Member of Parliament]], [[Lok Sabha]]","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Member of Parliament (India)|Member of Parliament]], [[Rajya Sabha]]",,,,,,,,,"<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->",,,,,,,,,,,,,{{unbulleted list|[[Indian National Congress]] (1938–1969)|[[Congress (R)]] (1969–1978)|[[Indian National Congress|Congress (I)]] (1978–1984)}},,,[[Charan Singh]],[[Lal Bahadur Shastri]]{{efn|[[Gulzarilal Nanda]] as acting prime minister for 13 days.}},[[Devakanta Barua]] (''as INC (R)''),[[U. N. Dhebar]],Mallikarjun Mudiraj,[[D. B. Chandregowda]],Baijnath Kureel,[[P. V. Narasimha Rao]],[[M. C. Chagla]],[[Chidambaram Subramaniam]],[[Swaran Singh]],[[Yashwantrao Chavan]],[[Gulzarilal Nanda]],Morarji Desai,[[Satya Narayan Sinha]],[[Neelam Sanjiva Reddy]]<br />[[Zail Singh]],[[Sarvepalli Radhakrishnan]]<br />[[Zakir Husain]]<br />[[V. V. Giri]]<br />[[Fakhruddin Ali Ahmed]]{{#tag:ref|[[B. D. Jatti]] as acting president 6 months.|group=Note}},,,,,,,,,''Herself'',''Herself'',''Herself'',''Herself'',''Herself'',''Herself'',''Herself'',Lal Bahadur Shastri,,,,[[Nehru–Gandhi family]],,,,,,,,,,,,,{{marriage|[[Feroze Gandhi]]|26 March 1942|8 September 1960|reason=died}},,,,,,,,,,,,,,,,,,,,,,,[[Rajiv Gandhi]] <!-- -->| deputy1             = [[Morarji Desai]] (13&nbsp;March&nbsp;1967&nbsp;– 16&nbsp;July&nbsp;1969),"[[Morarji Desai]] <!-- -->| office2             = <!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Minister of External Affairs (India)|Union Minister of External Affairs]]",Rajiv Gandhi,Neelam Sanjiva Reddy,P. Manik Reddy,D. M. Puttegowda,[[Raj Narain]],Rajiv Gandhi <!-- -->| term_start3         = 6 September 1967,"[[Dinesh Singh (Uttar Pradesh politician)|Dinesh Singh]] <!-- -->| office4             = <!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Minister of Defence (India)|Union Minister of Defence]]",Ramaswamy Venkataraman <!-- -->| term_start5         = 1 December 1975,"[[Bansi Lal]] <!-- -->| office6             = <!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Minister of Home Affairs (India)|Union Minister of Home Affairs]]","[[Uma Shankar Dikshit]] <!-- -->| office8             = <!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Minister of Finance (India)|Union Minister of Finance]]",Yashwantrao Chavan,"Yashwantrao Chavan <!-- -->| office9             = <!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Ministry of Information and Broadcasting (India)|Union Minister of Information & Broadcasting]]",[[Kodardas Kalidas Shah]],,1978–1984,1959,1980–1984,1978–1980,1967–1977,1964–1967 <!-- -->| signature           = Signature of Indira Gandhi.svg,,,,,31 October 1984,24 March 1977,,,31 October 1984,13 February 1969,15 January 1982,20 December 1975,5 February 1973,13 November 1966,27 June 1970,24 January 1966,,,,,,14 January 1980,24 January 1966,,,19 July 1984,,14 January 1980,,27 June 1970,9 November 1966,17 July 1969,9 June 1964,,,,,,,,,[[Mohammad Hidayatullah]]<br />[[Ramaswamy Venkataraman]],{{Plainlist| *Zakir Husain *V. V. Giri *[[Gopal Swarup Pathak]] *B. D. Jatti}},,,
