access-date,alma_mater,alt,appointer,archive-date,archive-url,attributes,awards,baptised,beatified_by,beatified_date,beatified_place,bgcolour,birth_date,birth_name,birth_place,c,canonized_by,canonized_date,canonized_place,caption,child,children,citizenship,date,death_ billydate,death_cause,death_date,death_place,df,discipline,education,embed,embedded,family,father,feast_day,field,first,honorific_prefix,honorific_suffix,image,image size,image_size,image_upright,imagesize,influenced,influences,institutions,known_for,last,location,major_shrine,major_works,mi,module,mother,movement,name,nationality,native_name,native_name_lang,notable works,notable_works,occupation,office,organization,other_names,p,parents,partner,party,patronage,patrons,practice,practice_name,publisher,relatives,resting_place,resting_place_coordinates,showorder,signature,signature_alt,signature_size,signature_type,significant_advance,significant_awards,significant_buildings,significant_design,significant_projects,spouse,style,term_end,term_start,termlabel,title,training,url,url-status,venerated_in,w,website,work,works,y,years_active
,,,,,,,,,,,,,{{birth date|df=yes|1840|11|14}},Oscar-Claude Monet,"Paris, France",,,,,Monet {{Circa|1899}},,{{cslist|[[Jean Monet (son of Claude Monet)|Jean]]|[[Michel Monet|Michel]]}},,,,,{{death date and age|df=yes|1926|12|5|1840|11|14}},"[[Giverny]], France",,,{{cslist|[[Académie Suisse]]|{{Lang|fr|[[Beaux-Arts de Paris]]|italic=no}}}},,,,,,Painting,,,,Claude Monet 1899 Nadar crop.jpg,,,,,,,,,,,,,,{{Infobox person|child=yes,,[[Impressionism]],Claude Monet,<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,,,,,,,,,{{cslist|[[Gustave Caillebotte]]|[[Ernest Hoschedé]]|[[Georges Clemenceau]]|[[Sergei Shchukin]]}},,,,,,,,Claude Monet Signature.svg}} }},,,,,,,,,{{ubl|{{marriage|[[Camille Doncieux]]|1870|1879|reason=died}}|{{marriage|[[Alice Hoschedé]]|1892|1911|reason=died}}}},,,,,,,,,,,,,"{{ubl|''[[Impression, Sunrise]]''|[[Rouen cathedral (Monet painting)|''Rouen Cathedral'' series]]|[[London Parliament (Monet painting)|''London Parliament'' series]]|''[[Water Lilies (Monet series)|Water Lilies]]''|''[[Haystacks (Monet series)|Haystacks]]''|''[[Poplars (Monet series)|Poplars]]''|[[List of paintings by Claude Monet|List of paintings]]}}",,1865–1926
,,,,,,,,,,,,,{{birth date|df=yes|1834|7|19}},Hilaire-Germain-Edgar De Gas,"[[Paris]], France",,,,,"Self-portrait (''Degas Saluant''), 1863",,,,,,,{{death date and age|df=yes|1917|9|27|1834|7|19}},"Paris, France",,,,,,,,,"Painting, sculpture, drawing",,,,Self-portrait by Edgar Degas.jpg,,,1,,,,,,,,,,,,,[[Impressionism]],Edgar Degas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| * {{Nowrap|''[[The Bellelli Family]]'' (1858–1867)}} * ''[[A Cotton Office in New Orleans]]'' (1873) * ''[[The Ballet Class (Degas, Musée d'Orsay)|The Ballet Class]]'' (1871–1874) * ''[[L’Absinthe|The Absinthe]]'' (1875–1876) * ''[[The Tub]]'' (1886) }}",,
,,Photograph of Paul Cézanne,,,,,,,,,,,{{Birth date|df=yes|1839|1|19}},,"[[Aix-en-Provence]], France",,,,,Cézanne in 1899,,,,,,,{{Death date and age|df=yes|1906|10|22|1839|1|19}},"Aix-en-Provence, France",,,,,,,,,,,,,Paul-Cezanne.jpg,,,,,,,,Painting,,,,,,,,"[[Impressionism]], [[Post-Impressionism]]",Paul Cézanne,French,,,,"''[[Mont Sainte-Victoire (Cézanne)|Mont Sainte-Victoire]]'' (1885–1906)<br />''Apothéose de Delacroix'' (1890–1894)<br />{{lang|fr|[[Rideau, Cruchon et Compotier]]}} (1893–94)<br />''[[The Card Players]]'' (1890–1895)<br />''[[The Bathers (Cézanne)|The Bathers]]'' (1898–1905)<br />''[[Pyramid of Skulls]]'' ({{Circa|1901}})",,,,,,,,,,,,,,,[[Saint-Pierre Cemetery (Aix-en-Provence)|Saint-Pierre Cemetery]],,,Cezanne autograph.svg }},,,,,,,,,,,,,,,[[Académie Suisse]]<br />[[Aix-Marseille University]],,,,,,,,,
,,"A head and shoulders portrait of a thirty-something man, with a red beard, facing to the left",,,,,,,,,,,{{birth date|1853|3|30|df=y}},Vincent Willem van Gogh,"[[Zundert]], Netherlands",,,,,"''[[Portraits of Vincent van Gogh#Paris 1887|Self-Portrait]]'', {{circa}}1887, [[Art Institute of Chicago]]",,,,,,[[Death of Vincent van Gogh|Self-inflicted gunshot wound to the chest]],{{death date and age|df=yes|1890|7|29|1853|3|30}},"[[Auvers-sur-Oise]], France",,,{{ubl|[[Royal Academy of Fine Arts (Antwerp)|Royal Academy of Fine Arts]]|{{lang|fr|[[Académie Royale des Beaux-Arts]]|italic=no}}}},,,[[Theo van Gogh (art dealer)|Theo van Gogh]] (brother)<br/>[[Wil van Gogh]] (sister),,,,,,,Vincent van Gogh - Self-Portrait - Google Art Project (454045).jpg,,,,,,,,,,,,,,,,[[Post-Impressionism]],Vincent van Gogh,,,,,{{ubl|''[[Sunflowers (van Gogh series)|Sunflowers]]'' (1887)|''[[Bedroom in Arles]]'' (1888)|''[[The Starry Night]]'' (1889)|''[[Wheatfield with Crows]]'' (1890)|''[[At Eternity's Gate|Sorrowing Old Man]]'' (1890)}},,,,,,,,,,,,,,,,,,Vincent van Gogh signature (Vincent).svg }},,,,,,,,,,,,,,,,,,,,,,,,1881–1890
,,Black-and-white photo of Picasso in a coat,,,,,{{plainlist| * [[Lenin Peace Prize]]}},,,,,,{{birth date|df=yes|1881|10|25}},"Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Cipriano de la Santísima Trinidad Ruiz y Picasso<ref name=""CatRez"">{{cite book |last1=Daix |first1=Pierre |title=Picasso, 1900–1906: catalogue raisonné de l'oeuvre peint |year=1988 |publisher=Editions Ides et Calendes |pages=1–106 |url=https://books.google.com/books?id=MlNGAQAAIAAJ |language=fr}}</ref>","[[Málaga]], Spain",,,,,Picasso in 1962,,{{plainlist| * [[Paulo Picasso]] * [[Maya Widmaier-Picasso]] * [[Claude Picasso]] * [[Paloma Picasso]] }},,,,,{{death date and age|df=yes|1973|4|8|1881|10|25}},"[[Mougins]], France",,,,,,{{plainlist| * [[Marina Picasso]] (granddaughter) * [[Bernard Ruiz-Picasso]] (grandson)}},[[José Ruiz y Blasco]],,"[[Painting]], [[drawing]], [[sculpture]], [[printmaking]], [[Ceramics (art)|ceramics]], [[Scenic design|stage design]], [[writing]]",,,,Pablo picasso.jpg,,,,,,,,,,,,,,{{Listen|pos=center|embed=yes|filename=10 PABLO PICASO.ogg|title=Pablo Picasso's voice|type=speech|description=Recorded c. 1960s}} }} }},María Picasso y López,"[[Cubism]], [[Surrealism]]",Pablo Picasso,,,,,,,,,,,,{{plainlist| * [[Fernande Olivier]] (1905–1912) * [[Eva Gouel]] (1912–1915) * [[Gabrielle Depeyre]] (1915–1916) * Irène Lagut (1916–1917) * [[Marie-Thérèse Walter]] (1927–1935) * [[Dora Maar]] (1935–1943) * [[Françoise Gilot]] (1943–1953)}},,,{{plainlist| * [[Eugenia Errázuriz]] * [[Sergei Shchukin]] * [[Gertrude Stein]]}},,,,,[[Château of Vauvenargues]],{{Coord|43.554142|5.604438|region:FR-13_type:landmark}},,Picasso Signatur-DuMont 1977.svg,,,,,,,,,{{plainlist| * {{marriage|[[Olga Khokhlova]]|1918|1941|end=sep.}} * {{marriage|[[Jacqueline Roque]]|1961}}}},,,,,,{{plainlist| * [[Real Academia de Bellas Artes de San Fernando]]}},,,,,,,{{plainlist| * ''[[La Vie (painting)|La Vie]]'' (1903) * ''[[The Old Guitarist]]'' (1903–1904) * ''[[Family of Saltimbanques]]'' (1905) * ''[[Les Demoiselles d'Avignon]]'' (1907) * ''[[Portrait of Daniel-Henry Kahnweiler]]'' (1910) * ''[[Three Musicians (Picasso)|Three Musicians]]'' (1921) * ''[[Girl before a Mirror]]'' (1932) * ''[[Le Rêve (Picasso)|Le Rêve]]'' (1932) * ''[[Guernica (Picasso)|Guernica]]'' (1937) * ''[[The Weeping Woman]]'' (1937) * [[Chicago Picasso]] (1967)}},,1897–1973
,,,,,,,,,,,,,{{birth date|1904|5|11|df=y}},Salvador Domingo Felipe Jacinto Dalí Doménech{{efn|name=name}},"[[Figueres]], Catalonia, [[Restoration (Spain)|Spain]]",,,,,Dalí in 1939,,,,,,,{{death date and age|1989|01|23|1904|05|11|df=y}},"Figueres, Catalonia, Spain",,,,,,,,,"Painting, drawing, photography, sculpture, writing, film, and jewelry",,"[[The Most Excellent]]<ref>{{Cite web |url=http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1989-4234 |title=Boletín Oficial del Estado, the official gazette of the Spanish government |access-date=31 July 2010 |archive-date=30 June 2012 |archive-url=https://archive.today/20120630120254/http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1989-4234 |url-status=dead }}</ref>",[[Order of Isabella the Catholic|GYC]],Salvador Dalí 1939.jpg,,,,,,,,,,,,,,,,"[[Cubism]], [[Dada]], [[Surrealism]]",,,,,,,,,,,,,,,,,,,,,"[[Crypt]] at [[Dalí Theatre and Museum]], Figueres",,,Salvador dali signature.svg }},,,,,,,,,{{marriage|[[Gala Dalí]]|1934|1982|end=died}},,,,,,"[[Real Academia de Bellas Artes de San Fernando|San Fernando School of Fine Arts]], Madrid, Spain",,,,,,,{{plainlist| * ''[[The Persistence of Memory]]'' (1931) * ''[[Soft Construction with Boiled Beans (Premonition of Civil War)]]'' (1936) * ''[[Dream Caused by the Flight of a Bee Around a Pomegranate a Second Before Awakening]]'' (1944) * ''[[Christ of Saint John of the Cross]]'' (1951) * ''[[Galatea of the Spheres]]'' (1952) * ''[[Crucifixion (Corpus Hypercubus)]]'' (1954) * ''[[The Ecumenical Council (painting)|The Ecumenical Council]]'' (1960) * ''[[The Hallucinogenic Toreador]]'' (1970)}},,
,,,,,,,,,,,,,{{Birth date|df=yes|1869|12|31}},Henri Émile Benoît Matisse,"[[Le Cateau-Cambrésis]], France<!--See MOS:GEOLINK-->",,,,,Matisse in 1913,,"3, including [[Pierre Matisse|Pierre]]",,,,,{{Death date and age|df=yes|1954|11|3|1869|12|31}},"[[Nice]], France",,,,,,,,,{{hlist|Painting|[[printmaking]]|sculpture|drawing|[[collage]]}},,,,"Henri Matisse, 1913, photograph by Alvin Langdon Coburn.jpg",,,,,,,,,,,,,,{{Infobox person|child=yes,,"[[Fauvism]], [[Modernism]], [[Post-Impressionism]]",Henri Matisse,,,,,,,,,,,,,,,"[[Sergei Shchukin]], [[Gertrude Stein]], [[Etta Cone]], [[Claribel Cone]], [[Sarah Stein]], [[Albert C. Barnes]]",,,,,,,,Matisse autograph.svg}} }},,,,,,,,,{{marriage|Amélie Noellie Parayre|1898|1939|end=div}},,,,,,"{{Lang|fr|[[Académie Julian]]|italic=no}}, [[William-Adolphe Bouguereau]], [[Gustave Moreau]]",,,,,,,''[[Woman with a Hat]]'' (1905)<br />''[[Le bonheur de vivre|The Joy of Life]]'' (1906)<br />''[[Blue Nude (Souvenir de Biskra)|Nu bleu]]'' (1907)<br />''[[Dance (Matisse)|La Danse]]'' (1909)<br />''[[The Red Studio|L'Atelier Rouge]]'' (1911)<br />''[[The Snail]]'' (1953),,
,,,,,,,,,,,,,{{birth date|1912|1|28|mf=y}},Paul Jackson Pollock,"[[Cody, Wyoming]], U.S.",,,,,Pollock's passport picture,,,,,,,{{death date and age|1956|8|11|1912|1|28|mf=y}},"[[Springs, New York]], U.S.",,,[[Art Students League of New York]],,,,,,,,,,Jackson Pollock's passport (cropped).jpg,,,,,,,,[[Painting]],,,,,,,,[[Abstract expressionism]],Jackson Pollock,,,,"* ''[[Number 17A]]'' (1948) * ''[[No. 5, 1948]]'' (1948) * ''[[Mural on Indian Red Ground]]'' (1950) * ''[[Autumn Rhythm (Number 30)|Autumn Rhythm]]'' (1950) * ''[[Convergence (Pollock)|Convergence]]'' (1952) * [[Blue Poles|''Blue Poles'' (''Number 11, 1952'')]] (1952) * ''[[The Deep (painting)|The Deep]]'' (1953) }}",,,,,,,,,,,,,,,,,,,Jackson Pollock Signature.svg,,,,,,,,,{{marriage|[[Lee Krasner]]|1945}},,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date|1928|8|6}},Andrew Warhola Jr.,"[[Pittsburgh]], Pennsylvania, U.S.",,,,,Warhol in 1980,,,,,,,{{Death date and age|1987|2|22|1928|8|6}},"New York City, U.S.<!-- No boroughs/neighborhoods, just cities per format -->",,,,,,,,,{{hlist|[[Printmaking]]|painting|cinema|photography}},,,,Andy Warhol at the Jewish Museum (by Bernard Gotfryd) – LOC.jpg,,,,,,,,,,,,,,{{Infobox person|child=yes,,[[Pop art]],Andy Warhol,,,,,,,,,,,,[[Jed Johnson (designer)|Jed Johnson]] (1968–1980) }},,,,,,,,"St. John the Baptist Byzantine Catholic Cemetery, [[Bethel Park, Pennsylvania]]",,,Andy Warhol Autograph.svg}},,,,,,,,,,{{hlist|[[Pop art]]|[[contemporary art]]}},,,,,[[Carnegie Institute of Technology]],,,,,,,{{ubl|''[[Chelsea Girls]]'' (1966 film)|''[[Exploding Plastic Inevitable]]'' (1966 event)|''[[Campbell's Soup Cans]]'' (1962 painting)|''[[Marilyn Diptych]]'' (1962 painting)}},,
,,,,,,,,,,,,,,"Magdalena Carmen Frida Kahlo y Calderón <!-- Don't change the spelling; Kahlo was officially ""Frida"" from birth, although she preferred the German spelling ""Frieda"" until the 1930s. -->| birth_date           = {{Birth date|df=yes|1907|7|6}}","[[Coyoacán]], Mexico",,,,,Kahlo in 1932,,,,,,,{{Death date and age|df=yes|1954|7|13|1907|7|6}},"Mexico City, Mexico",,,,,,,,,,,,,"Frida Kahlo, by Guillermo Kahlo.jpg",,,,,,,,,,,,,,,,{{hlist|[[Surrealism]]|[[Magic realism]]|[[Naïve art|Naïve]]}},Frida Kahlo,,,,,,,,,"Magdalena Carmen Frieda Kahlo y Calderón, Frieda Kahlo",,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|[[Diego Rivera]]|1929|1939|end=div}} * {{marriage||1940}} }},,,,,,,,,,,,,,,
