access-date,alma_mater,alt,appointer,archive-date,archive-url,attributes,awards,baptised,beatified_by,beatified_date,beatified_place,bgcolour,birth_date,birth_name,birth_place,c,canonized_by,canonized_date,canonized_place,caption,child,children,citizenship,date,death_ billydate,death_cause,death_date,death_place,df,discipline,education,embed,embedded,family,father,feast_day,field,first,honorific_prefix,honorific_suffix,image,image size,image_size,image_upright,imagesize,influenced,influences,institutions,known_for,last,location,major_shrine,major_works,mi,module,mother,movement,name,nationality,native_name,native_name_lang,notable works,notable_works,occupation,office,organization,other_names,p,parents,partner,party,patronage,patrons,practice,practice_name,publisher,relatives,resting_place,resting_place_coordinates,showorder,signature,signature_alt,signature_size,signature_type,significant_advance,significant_awards,significant_buildings,significant_design,significant_projects,spouse,style,term_end,term_start,termlabel,title,training,url,url-status,venerated_in,w,website,work,works,y,years_active
,,,,,,,[[National Medal of Arts]] (1985)<br />[[Presidential Medal of Freedom]] (1977)<br />[[Edward MacDowell Medal]] (1972),,,,,,{{birth date|1887|11|15|mf=y}},Georgia Totto O'Keeffe,"[[Sun Prairie (town), Wisconsin|Sun Prairie, Wisconsin]], U.S.",,,,,"O'Keeffe in 1932, photograph by [[Alfred Stieglitz]]",,,,,,,{{death date and age|1986|3|6|1887|11|15|mf=y}},"[[Santa Fe, New Mexico]], U.S.",,,"[[School of the Art Institute of Chicago]]<br />[[Columbia College (South Carolina)|Columbia College]]<br />[[Teachers College, Columbia University]]<br />[[University of Virginia]]<br />[[Art Students League of New York]]",,,[[Ida O'Keeffe]] (sister),,,"Visual arts: painting, sculpture, photography",,,,Georgia O'Keeffe MET DP230868.jpg,,,,,,,,,,,,,,,,"[[American modernism]], [[Precisionism]]",Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{marriage|[[Alfred Stieglitz]]|1924|July 13, 1946|end=his death}}",,,,,,,,,,,,,{{unbulleted list,,
,,,,,,,,,,,,,{{birth date|mf=yes|1903|9|25}},Markus Yakovlevich Rothkowitz,"[[Dvinsk]], [[Russian Empire]]<br />(now [[Daugavpils]], Latvia)",,,,,"''Mark Rothko, Yorktown Heights'', {{circa|1949}}. [[Brooklyn Museum]], by [[Consuelo Kanaga]].",,,,,,,{{death date and age|mf=yes|1970|2|25|1903|9|25}},"New York City, U.S.",,,,,,,,,,,,,"File:Consuelo Kanaga, Mark Rothko, Yorktown Heights, ca. 1949.jpg",,,,,,,,,,,,,,,,,Mark Rothko,{{Plainlist| * [[Russian Empire]] * American (from 1938) }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{OldStyleDate|16 December|1866|4 December}},Wassily Wassilyevich Kandinsky,"Moscow, [[Russian Empire]]",,,,,"Kandinsky by Adolf Elnain, {{c.|1925}}",,,,,,,{{Death date and age|1944|12|13|1866|12|16|df=y}},"[[Neuilly-sur-Seine]], France",,,,,,,,,Painting,,,,Kandinsky - Vassily Kandinsky by Adolf Elnain Photo credits - Georges Meguerditchian.jpg,,,,,,,,,,,,,,,,[[Expressionism]]; [[abstract art]],Wassily Kandinsky,"Russian, later French",,,,,,,,,,,[[Gabriele Münter]] (1902–1916),,,,,,,,,,,Kandinsky autograph.png }},,,,,,,,,{{ubl|{{marriage|Anja Chimiakina|1892|1911|reason=div}}|{{marriage|[[Nina Kandinsky|Nina Nikolaevna Andreevskaya]]|1917}}}},,,,,,"[[Academy of Fine Arts, Munich]]",,,,,,,"''[[Auf Weiss II (Sur blanc II)|On White II]]'', ''[[The Blue Rider (painting)|Der Blaue Reiter]]''",,
,,,,,,,"{{cslist|1954 [[Venice Biennale]] Grand Prize for Graphic Work|1958 Guggenheim International Award|1980 Gold Medal of Fine Arts, Spain}}",,,,,,{{Birth date|df=y|1893|4|20}},Joan Miró i Ferrà,"[[Barcelona]], [[Catalonia]], Spain",,,,,"Portrait by [[Carl Van Vechten]], 1935",,,,,,,{{Death date and age|df=y|1983|12|25|1893|4|20}},"[[Palma de Mallorca|Palma]], Balearic Islands, Spain",,,,,,,,,"Painting, sculpture, [[mural]] and [[Ceramics (art)|ceramics]]",,,,"Portrait of Joan  Miro, Barcelona 1935 June 13.jpg",,,,,,,,,,,,,,,,[[Surrealism]],Joan Miró,<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,,,,,,,,,,,,,,,,,"Miró, Joan 1893-1983 02 Signatur.jpg }}",,,,,,,,,{{marriage|Pilar Juncosa Iglésias|12 October 1929}},,,,,,"''Escola de Belles Arts de la Llotja'' and ''Escola d'Art de Francesc Galí, Cercle Artístic de Sant Lluc'', 1907–1913",,,,,,,,,
,,,,,,,,,,,,,{{birth date|df=yes|1879|12|18}},,"[[Münchenbuchsee]], Bern, Switzerland",,,,,Klee in 1926,,,,,,,{{death date and age|df=yes|1940|6|29|1879|12|18}},"[[Muralto]], Ticino, Switzerland",,,,,,,,,"Painting, drawing, watercolor, printmaking",,,,"File:Paul Klee by Hugo Erfurth, 1927.jpg",,,,,,,,,,,,,,,,"[[Expressionism]], [[Bauhaus]], [[Surrealism]]",Paul Klee,German,,,,,,,,,,,,,,,,,,,,,,Klee autograph.svg }},,,,,,,,,,,,,,,"[[Academy of Fine Arts]], Munich",,,,,,,"More than 10,000 paintings, drawings, and etchings, including ''[[Angelus Novus]]'' (1920), ''[[Senecio (Klee)|Senecio]]'' and ''[[Twittering Machine]]'' (1922), ''[[Fish Magic (Klee)|Fish Magic]]'' (1925), ''Viaducts Break Ranks'' (1937).",,
,,,,,,,,,,,,,{{birth date|1886|12|8}},Diego María de la Concepción Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodríguez,"[[Guanajuato (city)|Guanajuato]], Mexico",,,,,Rivera in 1957,,,,,,,{{death date and age|1957|11|24|1886|12|8}},"[[Mexico City]], Mexico",,,,,,,,,,,,,Diego Rivera - Google Art Project (cropped).jpg,,,,,,,,,,,,,,,,{{hlist|[[Cubism]] | [[Realism (arts)|Realism]] | [[Mexican muralism]]}},Diego Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * {{marriage|[[Angelina Beloff]]|1911|1921|end=div}} * {{marriage|[[Guadalupe Marín]]|1922|1928|end=div}} * {{marriage|[[Frida Kahlo]] |1929|1939|end=div}} * {{marriage|<!--Frida Kahlo-->|1940|1954|end=d}} * {{marriage|Emma Hurtado|1955}} }},,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date|df=y|1932|4|19}},"Fernando Botero Angulo<ref>Botero, Fernando, and Cynthia Jaffee McCabe. 1979. ''Fernando Botero: Hirshhorn Museum and Sculpture Garden, Smithsonian Institution''. Washington: Smithsonian Institution Press. p. 20. OCLC 5680128</ref>","[[Medellín]], Colombia",,,,,Botero in 2018,,"4, Lina, Juan Carlos, [[Fernando Botero Zea|Fernando]] and Pedro (Died. 1974<ref>País, El (2023-09-15). ""La triste historia de Pedrito, el hijo del artista Fernando Botero y de su segunda esposa, la caleña Cecilia Zambrano"". Noticias de Cali, Valle y Colombia – Periodico: Diario El País {{in lang|es}}. Retrieved 2024-02-23.</ref>)",,,,,{{death date and age|df=y|2023|9|15|1932|4|19}},"[[Monte Carlo]], Monaco",,,,,,,,,{{hlist|Painter|sculptor}},,,,Fernando Botero (2018).jpg,,,,,,,,,,,,,,,,,Fernando Botero,,,,,,,,,,,,,,,,,,,,,,,Botero Signature.jpg }},,,,,,,,,{{plainlist| {{marriage|{{ill|v=ib|Gloria Zea|es}}|1955|1960|reason=divorce}} {{marriage|[[Cecilia Zambrano]]|1964|1975|reason = divorce}}}} {{marriage|[[Sophia Vari]]|1978|5 May 2023|reason = died}},,,,,,,,,,,,,"{{plainlist| * ''Mona Lisa, Age Twelve'' (1959) * ''Pope Leo X (after Raphael)'' (1964) * ''The Presidential Family'' (1967) * ''The Dancers'' (1987) * ''Death of Pablo Escobar'' (1999) * ''[[La paloma de la paz]]'' (2016)}}",,
,,,,,,,,,,,,,{{Birth date|1960|12|22}},,"New York City, U.S.<!--No boroughs/neighborhoods,just cities per format.-->",,,,,Basquiat in 1984,,,,,,,{{Death date and age|1988|8|12|1960|12|22}},"New York City, U.S.",,,,,,,,,,,,,"Andy Warhol, Jean-Michel Basquiat, Bruno Bischofberger and Fransesco Clemente, New York, 1984 (cropped) (2).tif",,,1,,,,,"Painting, drawing",,,,,,,,[[Neo-expressionism]],Jean-Michel Basquiat,,,,,{{plainlist| *''[[Irony of Negro Policeman]]'' (1981) *''[[Untitled (Skull)]]'' (1981) *''[[Untitled (1982 Basquiat skull painting)|Untitled]]'' (1982) *''[[Boy and Dog in a Johnnypump]]'' (1982) *''[[Defacement (The Death of Michael Stewart)|Defacement]]'' (1983) *''[[Hollywood Africans]]'' (1983)}},,,,,,,,,,,,,,,"[[Green-Wood Cemetery]], New York City, U.S.",,,,,,,,,,,,,{{flatlist| *[[Neo-expressionism]] *[[graffiti]] *[[street art]]}},,,,,,,,,,{{Official URL}} }},,,,1978–1988
,,,,,,,,,,,,,,,,,,,,"Banksy art on [[Brick Lane]], [[East End of London]], 2004",,,,,,,,,,,,,,,,,[[Street art]],,,,File:banksy-art.jpg,,,,,,,,,,,,,,,,[[Graffiti]],Banksy,,,,,,,,,,,,,,,,,,,,,,,Banksy signature-removebg-preview.png,,,[[Tag (graffiti)|Tag]],,,,,,,,,,,,,,,,,{{Ubl,,''[[Girl with Balloon]]'',,
,,,,,,,[[Praemium Imperiale]] }},,,,,,{{birth date and age|df=y|1929|3|22}},Yayoi Kusama (草間 彌生),"[[Matsumoto, Nagano]], [[Empire of Japan]]",,,,,Wax model (2012),,,,,,,,,,,,,,,,,{{flatlist| * Painting * drawing * sculpture * [[installation art]] * performance art * film * fiction * fashion * writing}},,,,File:Yayoi Kusama wax model at Louis Vitton.jpg,,,,,,,,,,,,,,,,{{flatlist| * [[Pop art]] * [[minimalism]] * [[feminist art]] * [[environmental art]]}},Yayoi Kusama,,{{lang|ja|草間 彌生}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|www.yayoi-kusama.jp}},,,,
,,,,,,,,,,,,,{{birth date and age|df=y|1957|8|28}},,"[[Beijing]], China",艾未未,,,,Ai in 2017,yes,,,,,,,,,,[[Beijing Film Academy]],,,,[[Ai Qing]],,,,,,Aj Wej-wej I (2017).jpg,,,,,,,,,,,,,{{IPAc-cmn|ai|4|-|wei|4|.|wei|4}},{{Listen |embed= yes |filename= Ai Weiwei The Responsibility of an Artist.ogg |title= Weiwei's voice |type= speech |description= On the social responsibility of artists }} {{Infobox Chinese,,[[Excessivism]],Ai Weiwei,Chinese,艾未未 }},,,,,,,,Ài Wèiwèi,,,,,,,,,,,,st,,,,,,,,,,[[Lu Qing]],,,,,Ai Weiwei,,,,,Ai<sup>4</sup> Wei<sup>4</sup>-wei<sup>4</sup>,{{Official_URL}},,''[[Sunflower Seeds (artwork)|Sunflower Seeds]]''<br />[[Beijing National Stadium]],Ngaaih Meih-meih }},
,,,,,,,Japanese Fine Arts,,,,,,{{birth date and age|1962|2|1}},,"[[Tokyo]], Japan",,,,,"Murakami at the [[Palace of Versailles]], 2010",,,,,,,,,,,[[Tokyo University of the Arts]],,,,,,Contemporary art }},,,,Takashi_Murakami_at_Versailles_Sept._2010_(crop).jpg,,,,,,,,,,,,,,,,[[Superflat]],Takashi Murakami,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1955|1|21}},Jeffrey Lynn Koons,"[[York, Pennsylvania]], U.S.",,,,,Koons in 2014,,,,,,,,,,,,,,,,,,,,,Jeff Koons 01 (3x4 cropped).JPG,,,,,,,,,,,,,,,,,Jeff Koons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|[[Ilona Staller]]|1991|1994}} * Justine Wheeler }},,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|1965|6|7|df=y}},Damien Steven Brennan,"[[Bristol]], England",,,,,Hirst in 2021,,,,,,,,,,,,,,,,,,,,,"Damien Hirst 2 - West London studio, Jul 16, 2021.jpg",,,,,,,,{{Plainlist| * [[Collection (museum)|Diversity]] * [[Installation Art]] * [[Painting]] * [[Sculpture]] }},,,,,,,,,Damien Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1954|3|12|df=y}}<ref>{{cite web |last1=Töniges |first1=Sven |title=Anish Kapoor: Master of darkness at 65 {{!}} DW {{!}} 12 March 2019 |url=https://www.dw.com/en/anish-kapoor-master-of-darkness-at-65/a-47866693 |website=DW.COM |publisher=Deutsche Welle |access-date=1 January 2020}}</ref>,Anish Mikhail Kapoor,"[[Mumbai|Bombay]], India",,,,,Kapoor in 2017,,,,,,,,,,,,,,,,,[[Sculpture]],,,{{post-nominals|country=GBR|size=100%|CBE|RA}},Anish Kapoor 2017.jpg,,,,,,,,,,,,,,,,,Sir Anish Kapoor,"Indian, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * ''[[Cloud Gate]]'' * ''[[Sky Mirror]]'' * ''[[ArcelorMittal Orbit]]'' * ''[[Tees Valley Giants|Temenos]]'' }},,
,,,,,,,,,,,,,{{Birth date|df=yes|1852|6|25 }},Antoni Gaudí i Cornet,"[[Reus]] or [[Riudoms]], Catalonia, Spain<ref name=Masso74/>{{rp|17–18}}<ref name=GABC>{{cite web |ref={{Sfnref|Gaudí and Barcelona Club|2005}} |url=http://www.gaudiclub.com/ingles/i_vida/i_vida.asp |archive-url=https://web.archive.org/web/20110926212727/http://www.gaudiclub.com/ingles/i_vida/i_vida.asp |archive-date=26 September 2011 |title=Biography at Gaudí and Barcelona Club |access-date=5 November 2005 |url-status=live  }}</ref>{{rp|1}}",,,,,"Gaudí in 1878, by [[Pau Audouard]]",,,,,,,{{Death date and age|df=yes|1926|6|10|1852|6|25}},"[[Barcelona]], Catalonia, Spain",,,,,,,,,,,[[The Venerable|Venerable]],,Antoni Gaudi 1878.jpg,,,,,,,,,,,,{{hlist|[[Sagrada Família]]|[[Casa Milà]]|[[Casa Batlló]]|[[Park Güell]]|[[Church of Colònia Güell]]}} <!-- this template does not handle these parameters,,,,,Antoni Gaudí,,,,,,,,,,,,,,,,,,,,,,,Signature Antoni Gaudí.svg  --> }},,,,,,,,,,,,,,,,,,[[Catholic Church]],,{{URL|http://www.sagradafamilia.org/en/}}<br />{{URL|http://www.parkguell.cat/en/}}<br />{{URL|casabatllo.es/en/}}|,,,,
,[[University of Wisconsin–Madison]],,,,,,{{unbulleted list| [[Royal Gold Medal|RIBA Gold Medal]] | [[AIA Gold Medal]] | [[Twenty-five Year Award]] (4) | [[Order of the Star of Italian Solidarity]]}},,,,,,{{Birth date|mf=yes|1867|6|8}},,"[[Richland Center, Wisconsin]], U.S.",,,,,Wright in 1954,,"8, including [[Lloyd Wright]] and [[John Lloyd Wright]]",,,,,{{Death date and age|mf=yes|1959|4|9|1867|6|8}},"[[Phoenix, Arizona]], U.S.",,,,,,,,,,,,,Frank Lloyd Wright portrait.jpg,,,,,,,,,,,,,,,,,Frank Lloyd Wright,,,,,,,,,,,,[[Mamah Borthwick]] (1909–1914<!-- d. -->),,,,,,,,,,,Frank Lloyd Wright signature.svg }},,,,,,"{{unbulleted list| [[Fallingwater]] | [[Solomon R. Guggenheim Museum]] | [[Johnson Wax Headquarters]] | [[Taliesin (studio)|Taliesin]] | [[Taliesin West]] | [[Robie House]] | [[Imperial Hotel, Tokyo]] | [[Darwin D. Martin House]] | [[Unity Temple]] | [[Ennis House]] | [[Larkin Administration Building]] | [[Dana–Thomas House]] | [[Coonley House]] | [[Marin County Civic Center]] | [[First Unitarian Society of Madison]] | [[Price Tower]] | [[Monona Terrace]] | [[Annunciation Greek Orthodox Church]]}}",,{{unbulleted list| [[Usonia|Usonian Houses]] | [[Broadacre City]]}},{{ubl | {{marriage|Catherine Tobin|1889|1922|end=div}} | {{marriage|Miriam Noel|1923|1927|end=div}} | {{marriage|[[Olgivanna Lloyd Wright|Olga Lazović]]|1928}}}},,,,,,,,,,,,,,,
,,,,,,,{{ubl|[[AIA Gold Medal]] (1961)|[[Legion of Honour|Grand Officier of the Légion d'honneur]] (1964)}},,,,,,{{birth date|1887|10|6|df=y}},"Charles-Édouard Jeanneret-Gris<ref name=""Ministère de la Culture"">[http://www.culture.gouv.fr/public/mistral/leonore_fr?ACTION=CHERCHER&FIELD_98=NOM&VALUE_98=%27JEANNERET-GRIS%27&DOM=All Ministère de la Culture et de la Communication, Archives nationales; site de Fontainebleau, Légion d'honneur recipient, birth certificate]. Culture.gouv.fr. Retrieved on 27 February 2018.</ref>","[[La Chaux-de-Fonds]], [[Canton of Neuchâtel|Neuchâtel]], Switzerland",,,,,Le Corbusier in 1964,,,,,,,{{death date and age|1965|8|27|1887|10|6|df=y}},"[[Roquebrune-Cap-Martin]], [[Alpes-Maritimes]], France",,,,,,,,,,,,,Le Corbusier (1964).jpg,,,,,,,,,,,,,,,,,Le Corbusier,,,,,,,,,,,,,,,,,,,,,,,Le_Corbusier_signature.svg,,,,,,"[[Villa Savoye]], Poissy<br />[[Villa La Roche]], Paris<br />[[Unité d'habitation]], Marseille<br /> [[Notre-Dame du Haut]], Ronchamp<br /> Buildings in [[Chandigarh]], India",,[[Ville Radieuse]],Yvonne Galli }},,,,,,,,,,,,,,,
,[[American University of Beirut]]<br />[[Architectural Association School of Architecture]],,,,,,,,,,,,{{Birth date|df=yes|1950|10|31}},Zaha Mohammad Hadid,"[[Baghdad]], Iraq",,,,,Hadid in 2013,,,,,,,{{Death date and age|df=yes|2016|03|31|1950|10|31}},"[[Miami]], Florida, U.S.",,,,,,,,,,,[[Dame]],{{postnominals|country=GBR|DBE|RA|size=100%}},Zaha Hadid in Heydar Aliyev Cultural center in Baku nov 2013.jpg,,,,,,,,,,,,,,,,,Zaha Hadid,{{hlist|Iraq|United Kingdom}},,,,,,,,,,[[Mohammed Hadid]]<br />Wajeeha Sabonji,,,,,[[Zaha Hadid Architects]],,,,,,,,,,,,,"[[Vitra Fire Station]], [[MAXXI]], [[Bridge Pavilion]], [[Contemporary Arts Center]], [[Heydar Aliyev Center]], [[Riverside Museum]]",,,,,,,,,,,,,,{{URL|www.zaha-hadid.com}} }},,,,
,[[University of Manchester]]<br />[[Yale School of Architecture|Yale University]],,,,,,{{hlist|[[Stirling Prize]]|[[Pritzker Architecture Prize]]|[[Minerva medal]]|[[Prince of Asturias Awards|Prince of Asturias Award]]|[[HonFREng]]|Mérite Européen Gold Medal|[[AIA Gold Medal]]<ref>{{cite web |title=List of Fellows - Royal Academy of Engineering |url=https://www.raeng.org.uk/about-us/the-fellowship/list-of-fellows |website=Royal Academy of Engineering |archive-url=https://web.archive.org/web/20200521041125/https://www.raeng.org.uk/about-us/the-fellowship/list-of-fellows |access-date=23 December 2021 |archive-date=21 May 2020 |url-status=dead }}</ref>}},,,,,,{{Birth date and age|df=y|1935|6|1}},Norman Robert Foster,"[[Reddish]], [[Stockport]], England",,,,,Lord Foster in 2017,,,,,,,,,,,,,,,,,,,[[The Right Honourable]],{{Post-nominals|country=GBR|size=100%|OM|RA|HonFREng}},Norman Foster 1.jpg,,220,,,,,,,,,,,,,,,The Lord Foster of Thames Bank,,,,,,,,,,,,,,,,[[Foster + Partners]],,,,,,,,,,,,,{{hlist|[[Apple Park]]|[[30 St Mary Axe]]|[[Willis Building (Ipswich)|Willis Faber and Dumas Headquarters]]|[[Wembley Stadium]]|[[HSBC Building (Hong Kong)|HSBC Building]]|[[Reichstag building]]}},,American Air Museum at the [[Imperial War Museum Duxford]],{{plainlist | *{{marriage|[[Wendy Foster|Wendy Cheesman]]|1964|1989|end=d}} *{{marriage|Begum Sabiha Rumani Malik|1991|1995|end=div}} *{{marriage|[[Elena Ochoa Foster|Elena Fernández-Ferreiro López de Ochoa]]|1996}} }},,,,,,,,,,,{{URL|www.normanfosterfoundation.org}},,,,
,[[University of Florence]]<br />[[Polytechnic University of Milan]],,[[Giorgio Napolitano]],,,,[[Pritzker Architecture Prize]]<br />[[RIBA Gold Medal]]<br />[[Sonning Prize]]<br />[[AIA Gold Medal]]<br />[[Kyoto Prize]],,,,,,{{birth date and age|1937|9|14|df=y}},,"[[Genoa]], [[Kingdom of Italy]]",,,,,Piano in 2012,,,,,,,,,,,,,,,,,,,[[Senators for life in Italy|Senator for life]],{{post-nominals|post-noms=[[Order of Merit of the Italian Republic|OMRI]]|size=100%}},"Renzo Piano, portrait.jpg",,200px,,,,,,,,,,,,{{Infobox architect|embed=yes,,,Renzo Piano,,,,,,,Member of the [[Senate of the Republic (Italy)|Senate of the Republic]],,,,,,[[Independent politician|Independent]],,,}},,,,,,,,,,,,,{{Nowrap|[[Kansai International Airport]]<br />[[Centre Georges Pompidou]]<br />[[Parco della Musica]]<br />[[Shard London Bridge]]<br />[[The New York Times Building]]<br />[[Whitney Museum of American Art]]<br />[[Los Angeles County Museum of Art]]}},,,,,,30 August 2013,[[Senators for life in Italy|Life tenure]],,,,,,,,,,,
,{{unbulleted indent list| [[Escola Nacional de Belas Artes]] | [[Federal University of Rio de Janeiro]]}},,,,,,{{unbulleted list| 1963 [[Lenin Peace Prize]] | 1988 [[Pritzker Prize]] | 1989 [[Prince of Asturias Awards]] | 1998 RIBA [[Royal Gold Medal]] | 2004 [[Praemium Imperiale]]}},,,,,,{{Birth date|1907|12|15|df=yes}},,"[[Rio de Janeiro]], Brazil",,,,,Niemeyer in 1968,,[[Anna Maria Niemeyer|Anna Maria]],,,,,{{Death date and age|2012|12|5|1907|12|15|df=yes}},"Rio de Janeiro, Brazil",,,,,,,,,,,,,Oscar Niemeyer 1968b.jpg,,,,,,,,,,,,,,,,,Oscar Niemeyer,,,,,,,,,,,,,,,,,,,,"[[Cemitério São João Batista|São João Batista Cemetery]], Rio de Janeiro, Brazil",,,Oscar Niemeyer Signature.png }},,,,,,[[List of Oscar Niemeyer works|See list]],,[[Museum of Modern Art in Caracas]],{{unbulleted list| {{marriage|Annita Baldo|1928|2004|reason=d}} | {{marriage|Vera Lúcia Cabreira<br>|2006}}}},,,,,,,,,,,,,,,
,,,,,,,{{ubl|[[Pour le Mérite]] (1959)|[[Royal Gold Medal]] (1959)|[[AIA Gold Medal]] (1960)|[[Presidential Medal of Freedom]] (1963)}} }},,,,,,{{birth date|1886|3|27|mf=y}},Maria Ludwig Michael Mies,"[[Aachen]], [[Kingdom of Prussia]], [[German Empire]]",,,,,,,4,{{ubl|Germany (1886–1944)|United States (1944–1969)}},,,,{{death date and age|1969|8|17|1886|3|27|mf=y}},"[[Chicago, Illinois]], U.S.",,,,,,,,,,,,,Ludwig Mies van der Rohe.jpg,,,,,,,,,,,,,,,,,Ludwig Mies van der Rohe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|[[Barcelona Pavilion]]|[[Crown Hall]]|[[Farnsworth House]]|[[Highfield House Condominium|Highfield House]]|[[IIT Main Campus]]|[[860–880 Lake Shore Drive]]|[[One Charles Center]]|[[Seagram Building]]|[[New National Gallery]]|[[Toronto-Dominion Centre]]|[[Tugendhat House]]|[[Westmount Square]]|[[Martin Luther King&nbsp;Jr. Memorial Library]]}},,,{{Marriage|Adele Auguste Bruhn|1913|1918|end=separated}},,,,,,,,,,,,,,,
,,,,,,,,,,,,,"September 3, 1856",,"[[Boston]], Massachusetts, U.S.",,,,,Sullivan in {{circa|1895}},,}},,,,,{{Death date and age|1924|4|14|1856|9|3}},"Chicago, Illinois, U.S.",,,,,,,,,,,,,Louis Sullivan circa 1895.jpg,,220,,,,,,,,,,,,,,,Louis Henry Sullivan,,,,,,Architect,,,,,,,,,,,,,,[[Graceland Cemetery]],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date|df=y|1883|5|18}},Walter Adolph Georg Gropius,"[[Berlin]], [[Kingdom of Prussia]], German&nbsp;Empire",,,,,"Portrait by [[Louis Held]], {{circa|1919}}",,,,,,,{{death date and age|df=y|1969|7|5|1883|5|18}},"[[Boston]], Massachusetts, U.S.",,,,,,,,,,,,,WalterGropius-1919.jpg,,,,,,,,,,,,,,,,,Walter Gropius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * {{marriage|[[Alma Mahler]]|1915|1920|end=div}} * {{marriage|Ise Gropius|1923}} }},,,,,,,,,,,,,,,
,[[Académie de la Grande Chaumière]]<br>[[Yale School of Architecture|Yale University]],,,,,,[[AIA Gold Medal]] (1962),,,,,,{{Birth date|1910|8|20}},,"[[Kirkkonummi]], [[Grand Duchy of Finland]], [[Russian Empire]]",,,,,Saarinen in 1955 or 1956,,,,,,,{{Death date and age|1961|09|01|1910|08|20}},"[[Ann Arbor, Michigan]], U.S.",,,,yes,{{infobox person,,,,,,,,Eero-Saarinen (cropped).jpg,,,,,,,,,,,,,,,,,Eero Saarinen,Finnish <br/> American (since 1940),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * {{marriage|[[Lilian Swann Saarinen|Lilian Swann]]|1939|1954|end=div}} * {{marriage|[[Aline B. Saarinen|Aline Bernstein]]<br>|1954}} }},,,,,,,,,,,,,,,
,[[Harvard Graduate School of Design]],,,,,,[[Pritzker Prize]] (1979)<br />[[AIA Gold Medal]] (1978),,,,,,{{birth date|1906|7|8}},Philip Cortelyou Johnson,"[[Cleveland]], Ohio, U.S.",,,,,Johnson in 2002,,,,,,,{{death date and age|2005|1|25|1906|7|8}},"[[New Canaan, Connecticut]], U.S.",,,,,,,,,,,,,Philip Johnson.2002.FILARDO.jpg,,,,,,,,,,,,,,,,,Philip Johnson,,,,,,,,,,,,,,,,[[Johnson/Burgee Architects]] (established 1967),,,,,,,,,,,,,"[[Glass House]], [[Seagram Building]]'s 2 restaurants, [[550 Madison Avenue]], [[IDS Tower]], [[PPG Place]], [[Crystal Cathedral]]",,}},,,,,,,,,,,,,,,,
,[[Cornell University]],,,,,,[[Pritzker Prize]] (1984)<br />[[AIA Gold Medal]] (1997),,,,,,{{birth date and age|1934|10|12|mf=yes}},,"[[Newark, New Jersey]], U.S.",,,,,Meier in 2009,,,,,,,,,,,,,,,,,,,,,Richard Meier at the 2009 Tribeca Film Festival.jpg,,,,,,,,,,,,,,,,,Richard Meier,,,,,,,,,,,,,,,,Richard Meier & Partners,,,,,,,,,,,,,"Barcelona Museum of Contemporary Art<br /> City Hall and Central Library, The Hague<br />Getty Center, Los Angeles<br />High Museum of Art, Atlanta",,,,,,,,,,,,,,<!--{{URL|www.richardmeier.com}}--> }},,,,
