[[presidential medal of freedom]]<ref name,academic_advisors,alma_mater,alt,awards,baptised,birth_date,birth_name,birth_place,burial_place,caption,child,children,church,citizenship,constituency2,death_date,death_place,doctoral_advisor,education,embed,employer,era,ethnicity,fields,footnotes,genre,genres,honorific-suffix,honorific_prefix,honorific_suffix,image,image_size,image_upright,imagesize,influenced,influences,institutions,laicized,language,last,main_interests,module,monarch,movement,name,nationality,native_name,native_name_lang,notable_ideas,notable_works,notablework,notableworks,occupation,office,office2,ordained,organisation,organization,other_names,parents,partner,party,period,portaldisp,predecessor,predecessor2,president,pseudonym,region,relatives,religion,resting_place,resting_place_coordinates,school_tradition,signature,signature_alt,signature_size,spouse,spouses,subject,subjects,successor,successor2,term_end,term_end2,term_start,term_start2,thesis_title,thesis_url,thesis_year,title,website,workplaces,works,years_active,yearsactive,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end
,,,,{{ubl|[[Fulbright Scholarship]]|{{awards|award=[[Glascock Prize]]|year=1955|title=[[Two Lovers and a Beachcomber by the Real Sea]]}}|{{awards|award=[[Pulitzer Prize for Poetry]]|year=1982|title=The Collected Poems}} (posthumously)}},,{{Birth date|mf=yes|1932|10|27}},,"[[Boston]], Massachusetts, U.S.",,,,{{ubl|[[Frieda Hughes]]|[[Nicholas Hughes]]}},,,,{{Death date and age |1963|2|11 |1932|10|27 |mf=yes}},"[[London]], England",,"[[Smith College]] ([[Bachelor of Arts|BA]])<br>[[Newnham College, Cambridge]]<br>[[Boston University]] }}",,,,,,,{{cslist |Poetry |short story}},,,,,Sylvia Plath.jpg,,,,,,,,English,,,,,[[Confessional poetry]],Sylvia Plath,,,,,,,{{cslist |''[[The Bell Jar]]'' |''[[Ariel (poetry collection)|Ariel]]''}},{{cslist |Poet |author}},,,,,,,,,,1960–1963,,,,,Victoria Lucas,,{{ubl|[[Otto Plath]] (father)|[[Aurelia Plath|Aurelia Schober]] (mother)}},,"[[Heptonstall]] Church, England",,,Sylvia Plath signature (Mademoiselle 1953).svg,Sylvia Plath,,{{marriage|[[Ted Hughes]]|1956}},,,,,,,,,,,,,,,,,,,,,
,,,A sideways view of Bishop,{{unbulleted list | [[Pulitzer Prize for Poetry]] (1956) | [[National Book Award for Poetry]] (1970) | [[National Book Critics Circle Award for Poetry]] (1976) | [[Neustadt International Prize for Literature]] (1976) }} }},,{{Birth date|1911|2|8}},,"[[Worcester, Massachusetts]], U.S.",,Bishop in 1934 as a senior at [[Vassar College|Vassar]],,,,,,{{Death date and age|1979|10|6|1911|2|8}},"[[Boston, Massachusetts]], U.S.",,[[Vassar College]] ([[Bachelor of Arts|AB]]),,,,,,,,,,,,"Elizabeth Bishop, 1934 yearbook portrait.jpg",,,,,,,,,,,,,,Elizabeth Bishop,,,,,,,,Poet,,,,,,,,[[Lota de Macedo Soares]] (1952–1967) <br /> Alice Methfessel (1971–1979),,,,,,,,,,,,,,Elizabeth Bishop signature.svg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{{ubl|[[Fulbright Scholarship]]|{{awards|award=[[Glascock Prize]]|year=1955|title=[[Two Lovers and a Beachcomber by the Real Sea]]}}|{{awards|award=[[Pulitzer Prize for Poetry]]|year=1982|title=The Collected Poems}} (posthumously)}},,{{Birth date|mf=yes|1932|10|27}},,"[[Boston]], Massachusetts, U.S.",,,,{{ubl|[[Frieda Hughes]]|[[Nicholas Hughes]]}},,,,{{Death date and age |1963|2|11 |1932|10|27 |mf=yes}},"[[London]], England",,"[[Smith College]] ([[Bachelor of Arts|BA]])<br>[[Newnham College, Cambridge]]<br>[[Boston University]] }}",,,,,,,{{cslist |Poetry |short story}},,,,,Sylvia Plath.jpg,,,,,,,,English,,,,,[[Confessional poetry]],Sylvia Plath,,,,,,,{{cslist |''[[The Bell Jar]]'' |''[[Ariel (poetry collection)|Ariel]]''}},{{cslist |Poet |author}},,,,,,,,,,1960–1963,,,,,Victoria Lucas,,{{ubl|[[Otto Plath]] (father)|[[Aurelia Plath|Aurelia Schober]] (mother)}},,"[[Heptonstall]] Church, England",,,Sylvia Plath signature (Mademoiselle 1953).svg,Sylvia Plath,,{{marriage|[[Ted Hughes]]|1956}},,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|1917|03|01}},Robert Traill Spence Lowell IV,"[[Boston]], Massachusetts, U.S.",,"At the [[Grolier Poetry Bookshop]] in [[Harvard Square]], 1965",,2,,,,{{Death date and age|1977|09|12|1917|03|01}},"New York City, U.S.",,[[Harvard University]]<br />[[Kenyon College]] ([[Bachelor of Arts|BA]]) }},,,,,,,[[American poetry]],,,,,Robert-lowell-by-elsa-dorfman.jpg,,,,,,,,,,,,,[[Confessional poetry]],Robert Lowell,,,,,,,''[[Lord Weary's Castle]]''<br />''[[Life Studies]]''<br />''[[For the Union Dead]]''<br />''The Dolphin'' (1973),Poet,,,,,,,,,,1944–1977,,,,,,,,,"Stark Cemetery<br>[[Dunbarton, New Hampshire]], U.S.",,,,,,{{plainlist| * {{marriage|[[Jean Stafford]]|1940|1948|end = divorced}} * {{marriage|[[Elizabeth Hardwick (writer)|Elizabeth Hardwick]]|1949|1972|end=div}} * {{marriage|[[Caroline Blackwood]]|1972}}}},,,,,,,,,,,,,,,,,,,,,
,,,,{{awards|[[National Book Award]]|1974}}{{awards| [[Bollingen Prize]] |2003}}{{awards| [[Griffin Poetry Prize]] |2010}},,{{birth date|1929|5|16}},Adrienne Cecile Rich,"[[Baltimore, Maryland]], U.S.",,Rich in 1983,,3,,,,{{death date and age|2012|3|27|1929|5|16}},"[[Santa Cruz, California]], U.S.",,[[Harvard University]] ([[Bachelor of Arts|BA]]) }},,,,,,,"Poetry, non-fiction",,,,,Adrienne Rich (cropped).jpg,,,,,,,,,,,,,,Adrienne Rich,,,,,,,''Diving Into the Wreck and The Trees'',{{flatlist| * Poet * non-fiction writer * essayist}},,,,,,,,[[Michelle Cliff]] (1976–2012),,,,,,,,,,,,,,,,,{{marriage|[[Alfred Haskell Conrad]]|1953|1970|end = died}},,,,,,,,,,,,,,,,,,,,,
,,,,[[Pulitzer Prize for Poetry]] <small>(1950)</small><br>[[Robert Frost Medal]] <small>(1989)</small><br>[[National Medal of Arts]] <small>(1995)</small> }},,{{birth date|1917|6|7}},Gwendolyn Elizabeth Brooks,"[[Topeka, Kansas]], U.S.",,Commemorative postage stamp issued by the [[United States Postal Service|USPS]] in 2012,,"2, including [[Nora Brooks Blakely]]",,,,{{death date and age|2000|12|3|1917|6|7}},"[[Chicago]], [[Illinois]], U.S.",,[[Kennedy-King College]],,,,,,,,,,,,Gwendolyn_Brooks_USPS_postage_stamp.jpg,,,,,,,,,,,,,,Gwendolyn Brooks,,,,,,,"''A Street in Bronzeville'', ''[[Annie Allen]]'', ''Winnie''",[[Poet]],,,,,,,,,,1930–2000,,,,,,,,,,,,,,,"{{marriage|Henry Lowington Blakely, Jr.|1939|1996|end=d.}}",,,,,,,,,,,,,,,,,,,,,
,,,,[[Norman Mailer Prize|Norman Mailer Prize for Poetry]] (2014)<br />[[Helmerich Award]] (2016)<br />[[American Academy of Arts and Letters]] (2016),,{{birth date and age|mf=yes|1941|3|22}},William James Collins,"[[New York City, New York]], U.S.",,Collins in 2015,,,,,,,,,"{{nowrap|[[College of the Holy Cross]] ([[Bachelor of Arts|BA]])}}<br />[[University of California, Riverside]] ([[Master of Arts|MA]], [[PhD]])",,,,,,,,,,,,Billy Collins 2015.jpg,,,,,,,,,,,,,,Billy Collins,,,,,''The Apple That Astonished Paris''<br />''Questions About Angels''<br />''[[The Art of Drowning]]'',,,{{hlist|Poet|author|professor}},,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{Marriage|Diane Olbright|1977|end=div}} * {{Marriage|Suzannah Gail Collins|2019}} }},,,,,,,,,,,,,,,,,,,,,
,,[[Queen's University Belfast]],,,,{{Birth date|1939|4|13|df=yes}},,"Tamniaran, near [[Castledawson]], Northern&nbsp;Ireland",,Heaney in 1982,,3,,,,{{Death date and age|2013|08|30|1939|4|13|df=yes}},"[[Blackrock, Dublin]], Ireland",,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|MRIA}},"Seamus Heaney, Irish poet, brightened (cropped).jpg",,,,,,,,,,,,,,Seamus Heaney,,,,,{{collapsible list,,,{{cslist|[[Irish poetry|Poet]]|playwright|translator}},,,,,,,,,,1966–2013,,,,,,,,,"[[St. Mary's Church, Bellaghy]], Northern&nbsp;Ireland",,,Síniú de chuid Seamus Heaney.png }},,,"{{marriage|Marie Devlin|1965}}<ref name=""times-obit"" /><ref name=""guardian-obit"">{{Cite web |last=Corcoran |first=Neil |date=30 August 2013 |title=Seamus Heaney obituary |url=https://www.theguardian.com/books/2013/aug/30/seamus-heaney |access-date=19 November 2023 |website=[[The Guardian]]}}</ref>",,,,,,,,,,,,,List of notable works,,,,,,,,
,,"[[Pembroke College, Cambridge]]",,,,{{birth date|1930|8|17|df=y}},,"[[Mytholmroyd]], Yorkshire, England",,Hughes in later life,,{{unbulleted list|[[Frieda Hughes]]|[[Nicholas Hughes]]|Alexandra Wevill}},,,,{{death date and age|1998|10|28|1930|8|17|df=y}},"London, England",,,,,,,,}},,,[[Order of Merit|OM]] [[Order of the British Empire|OBE]] [[Royal Society of Literature|FRSL]],,,Ted Hughes.jpeg,,,,,,,,,,,,[[Elizabeth II]],,,English,,,,,,,"Poet, playwright, writer",[[Poet Laureate of the United Kingdom]],,,,,,,[[Assia Wevill]]<br>(1962–1969),,,,[[John Betjeman|Sir John Betjeman]],,,,,,,,,,,,,{{unbulleted list|{{marriage|[[Sylvia Plath]]|1956|1963|end=died}}|{{marriage|Carol Orchard<br>|1970}}}},,,,[[Andrew Motion]],,28 October 1998,,28 December 1984,,,,,,,,,,,,,
,,"[[University of Liverpool]] (B.A. Hons, Philosophy)",,,,{{birth date and age|df=y|1955|12|23}}<ref>{{Cite web|url=https://www.scottishpoetrylibrary.org.uk/poet/carol-ann-duffy/|title=Carol Ann Duffy {{!}} Poet|website=Scottish Poetry Library|language=en-GB|access-date=2019-03-18}}</ref>,,"[[Glasgow]], Scotland",,Duffy in June 2009,,1<ref>{{cite web|url=http://www.scottishpoetrylibrary.org.uk/poetry/poets/carol-ann-duffy|title=Carol Ann Duffy - Poetry - Scottish Poetry Library|website=www.scottishpoetrylibrary.org.uk|access-date=16 February 2018}}</ref>,,,,,,,,,,,,,,,,{{postnominals|country=GBR|size=100%|DBE|FRSL|HonFBA|HonFRSE}},[[Dame]],,Carol Ann Duffy (cropped).jpg,,,210px,,,,,,,,,[[Elizabeth II]],,Carol Ann Duffy,Scottish,,,,,,,"Poet, playwright",[[Poet Laureate of the United Kingdom]],,,,,,,,,,}},[[Andrew Motion]],,,,,,,,,,,,,,,,,[[Simon Armitage]],,10 May 2019,,1 May 2009,,,,,,,,,,,,,
,,,,,,{{Birth date and age|1939|11|18}},Margaret Eleanor Atwood,"[[Ottawa]], [[Ontario]], Canada",,Atwood in 2022,,,,,,,,,{{plainlist| * [[University of Toronto]] ([[Bachelor of Arts|BA]]) * [[Radcliffe College]] ([[Master of Arts|MA]]) }},,,,,,,,,,,{{Post-nominals|country=CAN|CC|OOnt|CH|FRSC|FRSL|size=100%}},Margaret Atwood (3x4 cropped).jpg,,,,,,,,,,,,,,Margaret Atwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date|mf=y|1943|04|22}},Louise Elisabeth Glück,"New York City, U.S.",,Glück {{circa|1977}},,,,,,{{death date and age|mf=y|2023|10|13|1943|04|22}},"[[Cambridge, Massachusetts]], U.S.",,{{plainlist| * [[Sarah Lawrence College]] * [[Columbia University]] }},,,,,,,,,,,,Louise Glück circa 1977.jpg,,,,,,,,,,,,,,Louise Glück,,,,,,,,{{cslist|Poet|essayist|professor}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[[Pulitzer Prize for Fiction]] (1983)<br>[[National Book Award]] (1983),,{{birth date and age|1944|2|9}},Alice Malsenior Walker,"[[Eatonton, Georgia]], U.S.",,Walker in 2007,,[[Rebecca Walker]],,,,,,,[[Spelman College]]<br>[[Sarah Lawrence College]] ([[Bachelor of Arts|BA]]),,,,,,,[[African-American literature]],,,,,Alice Walker.jpg,,,,,,,,,,,"{{Listen| embed=yes |filename = Alice walker bbc radio4 desert island discs 19 05 2013.flac |title = Alice Walker's voice |type = speech |description = from the BBC programme ''[[Desert Island Discs]]'', May 19, 2013.<ref name=""b01shstm"">{{Cite episode |title= Alice Walker |series= Desert Island Discs |series-link= Desert Island Discs |url= http://www.bbc.co.uk/programmes/b01shstm |access-date=January 18, 2014 |station= BBC Radio 4 |date=May 19, 2013 }}</ref> }} }}",,,Alice Walker,,,,,,,''[[The Color Purple]]'',{{flatlist| * Novelist * short story writer * poet * political activist}},,,,,,,,[[Robert L. Allen]]<br>[[Tracy Chapman]],,1968–present,,,,,,,,,,,,,,,{{marriage|[[Melvyn R. Leventhal]]|1967|1976|end=div}},,,,,,,,,,,,,,{{URL|alicewalkersgarden.com|Official website}},,,,,,,
,,,,{{Unbulleted list|[[Presidential Medal of Freedom]]|[[National Humanities Medal]]|[[Nobel Prize in Literature]]|[[Pulitzer Prize for Fiction]]}},,"{{Birth date|1931|02|18|mf=y}}<ref>{{cite news |url=https://www.cnn.com/2013/04/14/us/toni-morrison-fast-facts/index.html |title=Toni Morrison Fast Facts |work=CNN|date=August 8, 2019|access-date=August 8, 2019}}</ref>",Chloe Ardelia Wofford,"[[Lorain, Ohio]], U.S.",,Morrison in 1998,,2,,,,{{Death date and age|mf=yes|2019|08|05|1931|02|18}},"[[The Bronx]], New York City, U.S.<!--Per WP:OVERLINK ""The names of subjects with which most readers will be at least somewhat familiar,"" including locations with NYC as an example, do not typically need to be linked)-->",,,,,,,,,,,,,,Toni Morrison.jpg,,,,,,,,,,,{{wikiquote-inline}},,,Toni Morrison,,,,,,,,{{flatlist| * Novelist * essayist * children's writer * professor }},,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|Harold Morrison|1958|1964|end=div}},,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|1928|4|4}},Marguerite Annie Johnson,"[[St. Louis]], Missouri, U.S.",,Angelou in 1993,,,,,,{{Death date and age|2014|5|28|1928|4|4}},"[[Winston-Salem, North&nbsp;Carolina]], U.S.",,,,,,,,,,,,,,Angelou at Clinton inauguration (cropped 2).jpg,,,,,,,,,,,,,,Maya Angelou,,,,,,,,{{cslist|Writer|poet|civil rights activist}},,,,,,,,,,1951–2014,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|Tosh Angelos|1951|1954|end=divorced}} * {{marriage|[[Paul du Feu]]|1974|1983|end=divorced}} }},{{cslist|Memoir|poetry}},,,,,,,,,,,,{{URL|www.mayaangelou.com}},,,,,,,
,,,,,,{{birth date|1891|1|7|mf=y}},,"[[Notasulga, Alabama]], U.S.",,Hurston in 1946,,,,,,{{death date and age|mf=yes|1960|1|28|1891|1|7}},"[[Fort Pierce, Florida]], U.S.",,{{unbulleted list,yes,,,,,,,,,,,"Hurston, Zora Neale 4 (cropped).jpg",,,,,,,,,,,{{Infobox writer<!-- for more information see [[:Template:Infobox writer/doc]] -->,,[[The Harlem Renaissance]],Zora Neale Hurston,,,,,,,"''[[Mules and Men]]'', ''[[Their Eyes Were Watching God]]''",{{Hlist | Author | anthropologist | filmmaker}}<!-- Occupation(s) as given in the lead (see MOS:ROLEBIO) -->,,,,,,,,,,{{circa|1925}}–1950,,,,,,,,,,,,Zora Neale Hurston signature.svg }},,,{{Ubl,,,,,,,,,,,,,,{{URL|zoranealehurston.com}} }},,,,,div}},div}},div}} }}|
,,,,,,{{Birth date |1924|8|2}},James Arthur Jones,"[[New York City]], U.S.",,Baldwin in 1969,,,,,,{{death date and age |1987|12|1 |1924|8|2}},"[[Saint-Paul-de-Vence]], France",,,,,,,,,,,,,,James Baldwin 37 Allan Warren (cropped).jpg,,,,,,,,,,,,,,James Baldwin,,,,,{{plainlist| * ''[[Go Tell It on the Mountain (novel)|Go Tell It on the Mountain]]'' (1953) * ''[[Notes of a Native Son]]'' (1955) * ''[[Giovanni's Room]]'' (1956) }},,,{{hlist|Writer| activist}},,,,,,,,,,,,,,,,,,,"[[Ferncliff Cemetery]], [[Westchester County, New York]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{{ubl|[[National Book Award]] (1953)|[[National Medal of Arts]] (1985)}} }},,{{Birth date|1913|3|1|}},Ralph Waldo Ellison,"[[Oklahoma City]], Oklahoma, U.S.",,Ellison in 1961,,,,,,{{Death date and age|1994|4|16|1913|3|1|mf=y}},"New York City, U.S.",,[[Tuskegee University]],,,,,,,"Essay, criticism, novel, short story",,,,,Ralph Ellison photo portrait seated.jpg,,,,,,,,,,,,,,Ralph Ellison,,,,,,,''[[Invisible Man]]'' (1952),Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date and age|1975|9|30}},Ta-Nehisi Paul Coates,"[[Baltimore]], Maryland, U.S.",,Coates in 2025,,,,,,,,,[[Howard University]],,,,,,,,,,,,Ta-Nehisi Coates at the 2025 Edinburgh International Book Festival-21 (cropped).jpg,,,,,,,,,,,,,,Ta-Nehisi Coates,,,,,,,,{{flatlist| * Writer * journalist }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[[Eastern Connecticut State University]]<br />[[Johns Hopkins University]]<br />[[Yale University]],African woman writer behind a podium on stage smiling at audience,[[List of awards and honours received by Chimamanda Ngozi Adichie|Full list]],,{{Birth date and age|1977|9|15|df=y}},Grace Ngozi Adichie,"[[Enugu (city)|Enugu]], Enugu State, Nigeria",,Adichie in 2020,,3,,,,,,,,,,,,,,"Novel, short story, memoir, children's book",,,,,2020 - Chimamanda Ngozi Adichie (sq cropped) (cropped).jpg,,,,,,,,,,,,,,Chimamanda Ngozi Adichie,,,,,,,,Writer,,,,,,,,,,,,,,,,,,,,,,Signature of Chimamanda Ngozi Adichie.svg,,,{{marriage|Ivara Esege|2009}},,,,,,,,,,,,,,{{URL|https://www.chimamanda.com}} }},,,2003–present,,,,
,,,,,,{{Birth date and age|1967|07|11|mf=yes}},Nilanjana Sudeshna Lahiri,"[[London]], England",,Lahiri in 2015,,2,,,,,,,,,,,,,,"[[Novel]], [[short story]], [[postcolonial]]",,,,,Jhumpa Lahiri (2015).png,,,,,,,,,,,,,,Jhumpa Lahiri,{{hlist|[[Indian people|Indian]] (formerly)|[[Americans|American]]|[[British people|British]]}},,,,,,{{plainlist| * ''[[Interpreter of Maladies]]'' (1999) * ''[[The Namesake (novel)|The Namesake]]'' (2003) * ''[[Unaccustomed Earth]]'' (2008) * ''[[The Lowland]]'' (2013) }},Author,,,,,,,,,,21st century,,,,,,,,,,,,,,,{{Marriage|Alberto Vourvoulias-Bush|2001}},,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date and age|1947|06|19|df=y}},Ahmed Salman Rushdie,"[[Bombay]]<!-- redirects to [[Mumbai]] -->, [[British Raj|British India]]",,Rushdie in 2024,,,,{{plainlist | * India (until 1964) * UK (from 1964)<ref>{{Cite web|title=Salman Rushdie|url=https://www.oxfordreference.com/view/10.1093/oi/authority.20110803100433765|access-date=2022-08-21|website=Oxford Reference|language=en|archive-date=23 September 2022|archive-url=https://web.archive.org/web/20220923145236/https://www.oxfordreference.com/view/10.1093/oi/authority.20110803100433765|url-status=live}}</ref> * US (from 2016) }},,,,,[[University of Cambridge]] ([[Bachelor of Arts|BA]]),,,,,,,{{flatlist | * [[Magic realism]] * [[satire]] * [[postcolonialism]] }},,,[[Sir]],{{post-nominals|country=GBR|CH|FRSL|size=100%}},"Salman Rushdie, 2024.jpg",,,,,,,,,,,,,,Salman Rushdie,,,,,,,,{{Cslist|Writer|professor}},,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist | * {{marriage|Clarissa Luard|1976|1987|end=div}} * {{marriage|[[Marianne Wiggins]]|1988|1993|end=div}} * {{marriage|Elizabeth West|1997|2004|end=div}} * {{marriage|[[Padma Lakshmi]]|2004|2007|end=div}} * {{marriage|[[Rachel Eliza Griffiths]]|2021}} }},,{{flatlist | * [[Historical criticism]] * [[travel writing]] }},,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date and age|1949|1|12|mf=y}},,"[[Fushimi-ku, Kyoto]], Japan<!-- DO NOT ADD ""Allied-occupied Japan"", it refers to the period, not the actual name of the country at that time, in spite of Japan not being de facto sovereign then -->{{Efn|Japan was [[Occupation of Japan|under the Allied occupation]] at the time of Murakami's birth.}}",,Murakami in 2018,,,,,,,,,[[Waseda University]] ([[Bachelor of Arts|BA]]),,,,,,,,"{{hlist|Fiction|[[Bildungsroman]]<!-- Norwegian, Colorless -->|[[picaresque novel|picaresque]]<!-- Wild Sheep, Dance -->}}",,,,Conversatorio Haruki Murakami (12 de 12) (45747009452) (cropped).jpg,,,,,,,,[[Japanese language|Japanese]],,,,,"{{hlist|[[Surrealism]]|[[magical realism]]|[[postmodern literature|postmodernism]]<!-- Hardboiled Wonderland, 1Q84 -->|[[literary realism|realism]]<!-- Wind, Pinball, Norwegian, Colorless, South, Sputnik -->}}",Haruki Murakami<br>{{small|{{nobold|村上 春樹}}}},,,,,,,{{Plainlist| * ''[[Norwegian Wood (novel)|Norwegian Wood]]'' (1987) * ''[[The Wind-Up Bird Chronicle]]'' (1994–95) * ''[[Kafka on the Shore]]'' (2002) * ''[[1Q84]]'' (2010) * ''[[Men Without Women (Haruki Murakami short story collection)|Men without Women]]'' (2014)}} }},{{hlist|Novelist|short-story writer|essayist|translator}},,,,,,,,,,[[Contemporary literature|Contemporary]],,,,,,,,,,,,Haruki Murakami signature.svg,,,,,,,,,,,,,,,,,{{url|harukimurakami.com|Official website}},,,,,,,
,,[[National University of Colombia]]<br/>[[University of Cartagena]],,,,{{Birth date|1927|3|6|df=yes}},Gabriel José García Márquez,"[[Aracataca]], Colombia",,García Márquez in 2002,,,,,,{{death date and age|2014|4|17|1927|3|6|df=yes}},"[[Mexico City]], Mexico",,,,,,,,,{{Flatlist| * Novels * short stories }},,,,,Gabriel Garcia Marquez.jpg,,,,,,,,,,,,,,Gabriel García Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""schulman2014"" /> }}",,,,{{ubl,,{{Birth date and age|df=yes|1942|8|2}},Isabel Angélica Allende Llona,"[[Lima]], [[Peru]]<ref>{{Cite web|url=http://www.isabelallende.com/en/timeline#1942|title=Isabel Allende – Timeline|date=2019|publisher=Isabel Allende|access-date=25 March 2020|quote=1942: Isabel Allende born August 2 in Lima, where her father, Tomás Allende, a Chilean diplomat and first cousin of [[Salvador Allende]], is stationed. Her mother, Francisca Llona (known as Doña Panchita) is the daughter of Isabel Barros Moreira and Agustín Llona Cuevas.|url-status=live|archive-url=https://web.archive.org/web/20200325022040/http://www.isabelallende.com/en/timeline#2019|archive-date=25 March 2020}}</ref>",,"Allende in Germany, 2015",,[[Paula Frías Allende]]<br/>Nicolás Frías Allende,,{{hlist|Chile|United States}},,,,,,,,,,,,,,,,,Isabel Allende Frankfurter Buchmesse 2015 (cropped).JPG,,,,,,,,Spanish,,,,,,Isabel Allende,,,,,,,,{{hlist |Author |journalist}},,,,,,,,,,,,,,,,,[[Allende family]],,,,,Isabel Allende signature firma.svg }},,,,"{{marriage|Miguel Frías|1962|1987|end=divorce}}<ref name=""isabelallende.com"" /><br/>{{marriage|William C. Gordon|1988|2015|end=divorce}}<ref name=""walker2015"" /><br/>{{marriage|Roger Cukras|2019}}<ref name=""timeline2019"" />",,,,,,,,,,,,,{{URL|http://www.isabelallende.com}},,,,,,,
,,,,,,{{birth date|df=yes|1936|3|28}},{{nowrap|Jorge Mario Pedro Vargas Llosa}},"[[Arequipa]], Peru",,Vargas Llosa in 1986,,,,{{plainlist| * Peru * Spain (from{{nbsp}}1993) * Dominican Republic (from{{nbsp}}2023) }},,{{death date and age|2025|4|13|1936|3|28|df=yes}},"[[Lima]], Peru",,,,,,,,,,,,[[The Most Illustrious]],{{post-nominals|size=100%|list=[[Order of the Sun of Peru|OSP]] [[Order of Christopher Columbus|OCC]]}},Mario Vargas Llosa Congress NYC (cropped).jpg,,,,,,,,,,,,,,The Marquess of Vargas Llosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date|df=yes|1899|8|24}},Jorge Francisco Isidoro Luis Borges,"[[Buenos Aires]], [[Argentina]]",,Borges in 1951,,,,,,{{death date and age|df=yes|1986|6|14|1899|8|24}},"[[Geneva]], [[Switzerland]]",,,,,,,,,,,,,,"Jorge Luis Borges 1951, by Grete Stern (full).jpg",,,,,,,,Spanish,,,,,,Jorge Luis Borges,,,,,,,{{plainlist| *''[[Ficciones]]'' (1944) *''[[The Aleph (short story collection)|El Aleph]]'' (1949) *''[[Labyrinths (short story collection)|Labyrinths]]'' (1962) }},{{cslist|Writer|poet|philosopher|translator|editor|critic|librarian}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octavio Paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * {{marriage|[[Elena Garro]]|1937|1959|end=divorced}} * {{marriage|Marie-José Tramini|1965|1998}} }},,,,,,,,,,,,,,,,,,,,,
,,,,{{Plainlist| * [[International Peace Prize]] (1950) * [[Stalin Peace Prize]] (1953) * [[1971 Nobel Prize in Literature|Nobel Prize in Literature (1971)]]}},,{{Birth date|1904|7|12|df=yes}},Ricardo Eliécer Neftalí Reyes Basoalto,"[[Parral, Chile|Parral]], Chile",,Neruda in 1963,,1,,,1st district,{{Death date and age|1973|9|23|1904|7|12|df=yes}},"[[Santiago]], Chile",,,,,,,,,,,,,,Pablo Neruda 1963.jpg,,,,,,,,,,,,,,Pablo Neruda,,,,,,,,{{hlist|Poet|diplomat|politician}},[[Chile–France relations|Ambassador of Chile to France]],[[Senate of Chile|Senator]]<br />from [[Tarapacá Province|Tarapacá]] and [[Antofagasta Province|Antofagasta]],,,,,,,[[Communist Party of Chile|Communist]],,,{{ill|Enrique Bernstein|es}},[[:w:es:Carlos Alberto Martínez|Carlos Alberto Martínez]],[[Salvador Allende]],,,,,,,,Firma Pablo Neruda.svg }},,,,{{Plainlist| * {{Marriage|Marijke Antonieta Hagenaar Vogelzang|1930|1942|end=div}} * {{Marriage|Delia del Carril|1943|1955|end=div}} * {{Marriage|[[Matilde Urrutia|Matilde Urrutia Cerda]]|1966}}}},,,Jorge Errázuriz Echenique (1975),[[Radomiro Tomic]],February 1973,22 February 1950,March 1971,25 May 1945,,,,,,,,,,,,
,,,"Federico García Lorca smiling, standing in front of a theatre poster",,,{{Birth date|df=yes|1898|6|5}},Federico del Sagrado Corazón de Jesús García Lorca,"[[Fuente Vaqueros]], [[province of Granada|Granada]], [[Restoration (Spain)|Kingdom of Spain]]",,García Lorca in 1932,,,,,,{{death date and age|df=yes|1936|8|19|1898|6|5}},"near [[Alfacar]], Granada, [[Spanish Republic]]",,[[Columbia University]] <br> [[University of Granada]],,,,,,,,,,,,"Federico García Lorca. Huerta de San Vicente, Granada.jpg",,,,,,,,,,,,,,Federico García Lorca,,,,,,,,{{flatlist| * Playwright * poet * theatre director }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
