[[presidential medal of freedom]]<ref name,academic_advisors,alma_mater,alt,awards,baptised,birth_date,birth_name,birth_place,burial_place,caption,child,children,church,citizenship,constituency2,death_date,death_place,doctoral_advisor,education,embed,employer,era,ethnicity,fields,footnotes,genre,genres,honorific-suffix,honorific_prefix,honorific_suffix,image,image_size,image_upright,imagesize,influenced,influences,institutions,laicized,language,last,main_interests,module,monarch,movement,name,nationality,native_name,native_name_lang,notable_ideas,notable_works,notablework,notableworks,occupation,office,office2,ordained,organisation,organization,other_names,parents,partner,party,period,portaldisp,predecessor,predecessor2,president,pseudonym,region,relatives,religion,resting_place,resting_place_coordinates,school_tradition,signature,signature_alt,signature_size,spouse,spouses,subject,subjects,successor,successor2,term_end,term_end2,term_start,term_start2,thesis_title,thesis_url,thesis_year,title,website,workplaces,works,years_active,yearsactive,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end
,,"[[University College, Oxford]]",,,,{{birth date|1792|8|4|df=y}},<!-- only use if different from name --> }},"[[Field Place, Warnham|Field Place]], Sussex",,1819 portrait,,"6, including [[Sir Percy Shelley, 3rd Baronet|Sir Percy, 3rd Baronet]]",,,,{{death date and age|1822|7|8|1792|8|4|df=y}},"[[Gulf of La Spezia]], Kingdom of Sardinia",,,,,,,,,,,,,,Percy Bysshe Shelley by Alfred Clint.jpg,,,,,,,,,,,,,[[Romanticism]],Percy Bysshe Shelley,,,,,,,,Author,,,,,,,,,,,,,,,,,,,,,,Percy Bysshe Shelley SVG signature.svg,,,{{unbulleted list|{{marriage|Harriet Westbrook|1811|1816|end= d.}}|{{marriage|[[Mary Shelley]]|1816}}}},,,,,,,,,,,,,,,,,,,,,
,,,Portrait of Byron,,,,,,,''[[Portrait of Lord Byron]]'' ({{c.|1813}}),,,,,,,,,,yes,,,,,,,,,[[The Right Honourable]],[[Fellow of the Royal Society|FRS]],Byron 1813 by Phillips.jpg,220,,,,,,,,,,{{infobox officeholder,,,The Lord Byron,,,,,,,,,{{ubl|[[Member of the House of Lords]]|[[Lord Temporal]]}},,,,,,,,,,,"[[William Byron, 5th Baron Byron|The 5th Baron Byron]]",,,,,,,,,,,,,,,,,"[[George Byron, 7th Baron Byron|The 7th Baron Byron]] }}",,19 April 1824 <br/> [[Hereditary peerage]],,13 March 1809,,,,,,,,,,,,,
,,"[[St John's College, Cambridge]]",,,,{{birth date|df=yes|1770|04|07}},,"[[Cockermouth]], Cumberland, England",,"Wordsworth, 1842",,"6, including [[Dora Wordsworth|Dora]]",,,,{{death date and age|df=yes|1850|04|23|1770|04|07}},"[[Rydal, Cumbria|Rydal]], Westmorland, England",,,,,,,,,,,,,,File:Wordsworth on Helvellyn by Benjamin Robert Haydon.jpg,,,,,,,,,,,,[[Queen Victoria|Victoria]],,William Wordsworth,,,,,,,,Poet,[[Poet Laureate of the United Kingdom]],,,,,,,,,,,[[Robert Southey]],,,,,{{plain list| * [[Dorothy Wordsworth]] (sister) * John Wordsworth (brother) * [[Christopher Wordsworth (divine)|Christopher Wordsworth]] (brother) * [[Richard Wordsworth]] (great-great-grandson) }},,,,,,,,{{marriage|Mary Hutchinson|1802}},,,,"[[Alfred, Lord Tennyson]]",,23 April 1850,,6 April 1843,,,,,,,,,,,,,
,,"[[Jesus College, Cambridge]]",,,,{{birth date|df=y|1772|10|21}},,"{{nowrap|[[Ottery St Mary]], Devon, England}}",,1795 portrait by [[Peter Vandyke]],,"4, including [[Hartley Coleridge|Hartley]], [[Sara Coleridge|Sara]] and [[Derwent Coleridge|Derwent]]",,,,{{death date and age |df=y|1834|7|25|1772|10|21}},"[[Highgate]], Middlesex, England",,,,,,,,,,,,,,File:SamuelTaylorColeridge.jpg,,,,,,,,,,,,,[[Romanticism]],Samuel Taylor Coleridge,,,,,,,"{{cslist|''[[The Rime of the Ancient Mariner]]''|""[[Kubla Khan]]""|''[[Christabel (poem)|Christabel]]''|[[conversation poems]]|''[[Biographia Literaria]]''}}",{{cslist|Poet|philosopher|critic|moralist|theologian}},,,,,,,,,,,,,,,,,[[James Coleridge]] (brother),,,,,Samuel Taylor Coleridge signature.jpg,,,{{marriage|Sara Fricker|1795}},,{{cslist|[[Spiritual philosophy]]|politics|religion}} }},,,,,,,,,,,,,,,,,,,
,,,,[[Robert Frost Medal]] (1951),,{{Birth date|1879|10|2}},,"[[Reading, Pennsylvania]], U.S.",,Stevens in 1948,,1,,,,{{Death date and age|1955|8|2|1879|10|2}},"[[Hartford, Connecticut]], U.S.",,[[Harvard University]]<br />[[New York Law School]] ([[Bachelor of Laws|LLB]]) }},,,,,,,,,,,,"Wallace Stevens, 1948.jpg",,,,,,,,,,,,,[[Modernism]],Wallace Stevens,,,,,,,''[[Harmonium (poetry collection)|Harmonium]]''<br>''[[The Idea of Order at Key West]]''<br>''[[The Man with the Blue Guitar]]''<br>''[[The Auroras of Autumn]]''<br>''[[Of Modern Poetry]]'',{{flatlist| * Poet * lawyer * insurance executive}},,,,,,,,,,1914–1955,,,,,,,,,,,,Wallace Stevens signature.svg,,,{{marriage|Elsie Kachel|1909}},,,,,,,,,,,,,,,,,,,,,
,,,,{{ubl|[[Pulitzer Prize for Poetry]]|[[List of Congressional Gold Medal recipients|Congressional Gold Medal]]}},,{{birth date|1874|3|26}},,"{{nowrap|[[San Francisco]], California, U.S.}}",,Frost in 1949,,6,,,,{{Death date and age|1963|1|29|1874|3|26}},"[[Boston]], Massachusetts, U.S.",,[[Dartmouth College]] (no degree)<br />[[Harvard University]] (no degree),,,,,,,,,,,,Robert Frost NYWTS 4.jpg,,,,,,,,,,,,,,Robert Frost,,,,,,,"''[[A Boy's Will]]'', ''[[North of Boston]]'', ''[[New Hampshire (poetry collection)|New Hampshire]]''<ref name=""Poetry Foundation"">{{cite web|title=Robert Frost|url=http://www.poetryfoundation.org/bio/robert-frost|website=The Poetry Foundation|access-date=February 18, 2015}}</ref>","Poet, playwright",,,,,,,,,,,,,,,,,,,,,,Robert Frost Signature.svg }},,,{{marriage|Elinor Miriam White|1895|1938|end = died}},,,,,,,,,,,,,,,,,,,,,
,,[[Mount Holyoke College|Mount Holyoke Female Seminary]],"Photograph of Emily Dickinson, seated, at the age of 16",,,{{Birth date|1830|12|10}},,"{{nowrap|[[Amherst, Massachusetts]], U.S.}}",,"[[Daguerreotype]] taken at Mount Holyoke, December 1846 or early 1847; only authenticated portrait of Dickinson after early childhood.<ref>D'Arienzo (2006); the original is held by Amherst College Archives and Special Collections</ref>",,,,,,{{death date and age|1886|5|15|1830|12|10}},"Amherst, Massachusetts, U.S.",,,,,,,,,,,,,,Black-white photograph of Emily Dickinson2.png,,,,,,,,,,,,,,Emily Dickinson,,,,,[[List of Emily Dickinson poems|List of poems]],,,Poet,,,,,,,{{ubl|[[Edward Dickinson]]|[[Emily Norcross Dickinson]]}},,,,,,,,,,{{Plain list| * [[William Austin Dickinson]] (Brother) * [[Lavinia Norcross Dickinson]] (Sister) }},,[[Amherst West Cemetery]],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|1928|4|4}},Marguerite Annie Johnson,"[[St. Louis]], Missouri, U.S.",,Angelou in 1993,,,,,,{{Death date and age|2014|5|28|1928|4|4}},"[[Winston-Salem, North&nbsp;Carolina]], U.S.",,,,,,,,,,,,,,Angelou at Clinton inauguration (cropped 2).jpg,,,,,,,,,,,,,,Maya Angelou,,,,,,,,{{cslist|Writer|poet|civil rights activist}},,,,,,,,,,1951–2014,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|Tosh Angelos|1951|1954|end=divorced}} * {{marriage|[[Paul du Feu]]|1974|1983|end=divorced}} }},{{cslist|Memoir|poetry}},,,,,,,,,,,,{{URL|www.mayaangelou.com}},,,,,,,
,,,,,,{{birth date|1901|2|1|mf=y}},James Mercer Langston Hughes,"[[Joplin, Missouri]], U.S.",,"Portrait by [[Carl Van Vechten]], 1942",,,,,,{{death date and age|1967|5|22|1901|2|1}},"[[New York City]], U.S.",,{{ubl|[[Columbia University]]|[[Lincoln University (Pennsylvania)|Lincoln University]] ([[Bachelor of Arts|BA]])}},,,,,,,,,,,,Langston Hughes by Carl Van Vechten Trim.jpg,,,,,,,,,,,,,,Langston Hughes,,,,,,,,{{hlist|Poet|columnist|dramatist|essayist|novelist}},,,,,,,,,,1926–1964,,,,,,,{{ubl|[[Charles Henry Langston]] (grandfather)|[[Mary Sampson Patterson Leary Langston]] (grandmother)|[[John Mercer Langston]] (great-uncle)}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[[National Book Award]] (1974)<br />[[Robert Frost Medal]] (1986),,{{Birth date|1926|6|3}},Irwin Allen Ginsberg,"[[Newark, New Jersey]], U.S.",,Ginsberg in 1979,,,,,,{{death date and age|1997|4|5|1926|6|3}},"New York City, U.S.",,"[[Montclair State University]]<br />[[Columbia University]] ([[Bachelor of Arts|BA]])<br />[[University of California, Berkeley]]",,,,,,,,,,,,Allen Ginsberg 1979 - cropped.jpg,,,,,,,,,,,,,[[Beat Generation|Beat literature]]<br />[[Confessional poetry]],Allen Ginsberg,,,,,,"""[[Howl (poem)|Howl]]""",,{{hlist|Writer|poet}},,,,,,,,[[Peter Orlovsky]] (1954–1997),,,,,,,,,,,,,,Allen Ginsberg signature.svg }},,,,,,,,,,,,,,,,,,,,,,,,
