,Unnamed: 0,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
307,307,Esperanza Spalding,{{Birth date and age|1984|10|18}},"[[Portland, Oregon]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",{{hlist|Musician|composer|educator|bandleader}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,2,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,2
308,308,Esperanza Spalding,{{Birth date and age|1984|10|18}},"[[Portland, Oregon]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",{{hlist|Musician|composer|educator|bandleader}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,2,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,2
309,309,Esperanza Spalding,{{Birth date and age|1984|10|18}},"[[Portland, Oregon]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",{{hlist|Musician|composer|educator|bandleader}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,2,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,2
310,310,Esperanza Spalding,{{Birth date and age|1984|10|18}},"[[Portland, Oregon]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",{{hlist|Musician|composer|educator|bandleader}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,2,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,2
311,311,Esperanza Spalding,{{Birth date and age|1984|10|18}},"[[Portland, Oregon]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",{{hlist|Musician|composer|educator|bandleader}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,2,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,2
312,312,Plato,428/427 or 424/423 BC,[[Classical Athens|Athens]],348/347 BC (aged 75-80),Athens,Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
313,313,Socrates,{{circa|470}} BC <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,"[[Deme]] [[Alopece]], [[Classical Athens|Athens]]",399 BC (aged {{approx.|71}}) <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,Athens,Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","[[Xanthippe]], [[Myrto]] (disputed)",2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
314,314,Aristotle,384 BC,"[[Stagira (ancient city)|Stagira]], [[Chalcidian League]]",{{nowrap|322 BC (aged 61–62)}},"[[Chalcis]], [[Euboea]], [[Macedonian Empire]]",Composer,}},[[King's College London]],[[Platonic Academy]],{{plainlist|,2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,3,1
315,315,{{ubl|Confucius|{{nobold|{{transliteration|zh|Kǒngzǐ}}}}}},{{circa|551 BCE}},"Zou, [[Lu (state)|Lu]] {{awrap|(now [[Qufu]], [[Shandong]])}}",{{circa|lk=no|479 BCE}} (aged 71–72),"[[Si River]], Lu",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
316,316,Sun Tzu,544 BC (Traditional),[[Qi (state)|Qi]] or [[Wu (state)|Wu]],496 BC (traditional; aged 47–48),"[[Suzhou, Jiangsu|Gusu]], [[Wu (state)|Wu State]]","Military general, strategist, philosopher, writer",}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,1,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
