Feature,Importance,Top15%
death_place,5.816657740956526,Yes
death_date,5.063121691446693,Yes
birth_place,0.37668653778655464,No
death_year,0.16252892947240255,No
birth_year,0.14166427725007635,No
Unnamed: 0.2,0.0045540211893610825,No
Unnamed: 0.1,0.0,No
Unnamed: 0,0.0,No
name,0.0,No
awards,0.0,No
occupation,0.0,No
birth_date,0.0,No
education,0.0,No
alma_mater,0.0,No
children,0.0,No
spouse,0.0,No
occupation_cluster,0.0,No
life_span_cluster,0.0,No
edu_award_cluster,0.0,No
bio_cluster,0.0,No
